{'Time': '2023-07-24T14:01:10Z', 'BUY': 257.38, 'SELL': 257.31}
{'Time': '2023-07-24T14:01:20Z', 'SELL': 257.32, 'BUY': 257.38}
{'Time': '2023-07-24T14:01:30Z', 'SELL': 257.15, 'BUY': 257.15}
{'Time': '2023-07-24T14:01:40Z', 'BUY': 257.22, 'SELL': 257.18}
{'Time': '2023-07-24T14:01:50Z', 'BUY': 257.33, 'SELL': 257.28}
{'Time': '2023-07-24T14:02:00Z', 'SELL': 257.37, 'BUY': 257.42}
{'Time': '2023-07-24T14:02:10Z', 'BUY': 257.44, 'SELL': 257.38}
{'Time': '2023-07-24T14:02:20Z', 'SELL': 257.09, 'BUY': 257.14}
{'Time': '2023-07-24T14:02:30Z', 'BUY': 257.49, 'SELL': 257.43}
{'Time': '2023-07-24T14:02:40Z', 'SELL': 257.16, 'BUY': 257.23}
{'Time': '2023-07-24T14:02:50Z', 'BUY': 257.29, 'SELL': 257.2}
{'Time': '2023-07-24T14:03:00Z', 'BUY': 257.27, 'SELL': 257.22}
{'Time': '2023-07-24T14:03:10Z', 'SELL': 257.2, 'BUY': 257.25}
{'Time': '2023-07-24T14:03:20Z', 'SELL': 257.25, 'BUY': 257.29}
{'Time': '2023-07-24T14:03:30Z', 'BUY': 257.43, 'SELL': 257.37}
{'Time': '2023-07-24T14:03:40Z', 'BUY': 257.33, 'SELL': 257.28}
{'Time': '2023-07-24T14:03:50Z', 'BUY': 257.33, 'SELL': 257.27}
{'Time': '2023-07-24T14:04:00Z', 'BUY': 257.45, 'SELL': 257.39}
{'Time': '2023-07-24T14:04:10Z', 'SELL': 257.73, 'BUY': 257.77}
{'Time': '2023-07-24T14:04:20Z', 'BUY': 257.94, 'SELL': 257.9}
{'Time': '2023-07-24T14:04:30Z'}
{'Time': '2023-07-24T14:04:40Z', 'SELL': 257.86, 'BUY': 257.92}
{'Time': '2023-07-24T14:04:50Z', 'SELL': 257.9}
{'Time': '2023-07-24T14:05:00Z', 'BUY': 257.85, 'SELL': 257.81}
{'Time': '2023-07-24T14:05:10Z', 'BUY': 258.13, 'SELL': 258.09}
{'Time': '2023-07-24T14:05:20Z', 'SELL': 258.27, 'BUY': 258.29}
{'Time': '2023-07-24T14:05:30Z', 'BUY': 258.12, 'SELL': 258.08}
{'Time': '2023-07-24T14:05:40Z', 'BUY': 258.16, 'SELL': 258.13}
