date,_id,curtime,gettime,symbol,tradetime,last,ask,asksize,bid,bidsize,volume,vwap,open,high,low,previousclose,previousvolume,netchange,netchangepct,lvl2,close,macd,macds,macdh,macd_cross,macd_sign,start,end,max,min,r,len,accum,peak,h_s
2023-06-05T14:07:40Z,647dec2c5869ec113f5f1b0a,2023-06-05T14:07:40Z,2023-06-05T14:07:39Z,AAPL,2023-06-05T14:07:38Z,183.77,183.77,200.0,183.75,400.0,16696959.0,183.173589724785,182.63,183.86,181.97,180.95,61996913.0,2.82,0.0156,717.4412292324093,183.77,0.044399105059085286,0.014298740228530596,0.030100364830554692,0,1,2023-06-05T14:07:20Z,2023-06-05T14:07:40Z,0.030100364830554692,0.005049364199173077,1.0,3,0.05081926240118684,2023-06-05T14:07:40Z,0.030100364830554692
2023-06-05T14:07:50Z,647dec365869ec113f5f1bd0,2023-06-05T14:07:50Z,2023-06-05T14:07:50Z,AAPL,2023-06-05T14:07:49Z,183.765,183.77,200.0,183.76,200.0,16750298.0,183.175745092688,182.63,183.86,181.97,180.95,61996913.0,2.815,0.0156,-480.02355082590964,183.765,0.055315012607735525,0.022501994704371586,0.03281301790336394,0,1,2023-06-05T14:07:20Z,2023-06-05T14:07:50Z,0.03281301790336394,0.005049364199173077,1.0,4,0.08363228030455078,2023-06-05T14:07:50Z,0.03281301790336394
2023-06-05T14:08:00Z,647dec405869ec113f5f1c98,2023-06-05T14:08:00Z,2023-06-05T14:08:00Z,AAPL,2023-06-05T14:07:59Z,183.6311,183.64,200.0,183.63,100.0,16795661.0,183.17732067216,182.63,183.86,181.97,180.95,61996913.0,2.6811,0.0148,-94.30227109575063,183.6311,0.04061189426576561,0.026123974616650395,0.014487919649115218,0,1,2023-06-05T14:07:20Z,2023-06-05T14:08:00Z,0.03281301790336394,0.005049364199173077,0.44152962984943667,5,0.098120199953666,2023-06-05T14:07:50Z,0.014487919649115218
2023-06-05T14:08:10Z,647dec4a5869ec113f5f1d63,2023-06-05T14:08:10Z,2023-06-05T14:08:10Z,AAPL,2023-06-05T14:08:09Z,183.7799,183.78,400.0,183.76,1200.0,16820034.0,183.178137275961,182.63,183.86,181.97,180.95,61996913.0,2.8299,0.0156,-713.5699820823315,183.7799,0.05120949959652421,0.03114107961262516,0.02006841998389905,0,1,2023-06-05T14:07:20Z,2023-06-05T14:08:10Z,0.03281301790336394,0.005049364199173077,0.6115993366718538,6,0.11818861993756505,2023-06-05T14:07:50Z,0.02006841998389905
2023-06-05T14:08:20Z,647dec545869ec113f5f1e36,2023-06-05T14:08:20Z,2023-06-05T14:08:19Z,AAPL,2023-06-05T14:08:18Z,183.92,183.92,400.0,183.89,100.0,16945559.0,183.183746494789,182.63,183.92999,181.97,180.95,61996913.0,2.97,0.0164,-253.37911134433864,183.92,0.07562193144821094,0.04003724997974232,0.035584681468468625,0,1,2023-06-05T14:07:20Z,2023-06-05T14:08:20Z,0.035584681468468625,0.005049364199173077,1.0,7,0.15377330140603368,2023-06-05T14:08:20Z,0.035584681468468625
2023-06-05T14:08:30Z,647dec5e5869ec113f5f1f00,2023-06-05T14:08:30Z,2023-06-05T14:08:30Z,AAPL,2023-06-05T14:08:29Z,183.929,183.93,300.0,183.92,600.0,17002681.0,183.186507151243,182.63,183.95,181.97,180.95,61996913.0,2.979,0.0165,70.35607279086754,183.929,0.08876742313498198,0.049783284610790256,0.038984138524191726,0,1,2023-06-05T14:07:20Z,2023-06-05T14:08:30Z,0.038984138524191726,0.005049364199173077,1.0,8,0.1927574399302254,2023-06-05T14:08:30Z,0.038984138524191726
2023-06-05T14:08:40Z,647dec685869ec113f5f1fd1,2023-06-05T14:08:40Z,2023-06-05T14:08:39Z,AAPL,2023-06-05T14:08:38Z,183.84,183.84,500.0,183.82,200.0,17061640.0,183.189140427849,182.63,183.95,181.97,180.95,61996913.0,2.89,0.016,-169.19191434622806,183.84,0.08047823750914063,0.055922275190460335,0.02455596231868029,0,1,2023-06-05T14:07:20Z,2023-06-05T14:08:40Z,0.038984138524191726,0.005049364199173077,0.6298962410941058,9,0.2173134022489057,2023-06-05T14:08:30Z,0.02455596231868029
2023-06-05T14:08:50Z,647dec725869ec113f5f2099,2023-06-05T14:08:50Z,2023-06-05T14:08:50Z,AAPL,2023-06-05T14:08:49Z,183.88,183.88,300.0,183.86,300.0,17115609.0,183.191225209412,182.63,183.95,181.97,180.95,61996913.0,2.93,0.0162,196.041621663238,183.88,0.07783268559495582,0.06030435727135943,0.01752832832359639,0,1,2023-06-05T14:07:20Z,2023-06-05T14:08:50Z,0.038984138524191726,0.005049364199173077,0.44962718139119917,10,0.23484173057250207,2023-06-05T14:08:30Z,0.01752832832359639
2023-06-05T14:09:00Z,647dec7c5869ec113f5f215f,2023-06-05T14:09:00Z,2023-06-05T14:09:00Z,AAPL,2023-06-05T14:08:59Z,183.7999,183.8,100.0,183.79,600.0,17176623.0,183.193669031475,182.63,183.95,181.97,180.95,61996913.0,2.8499,0.0157,1040.3528966475546,183.7999,0.06159325848039998,0.060562137513167545,0.0010311209672324365,0,1,2023-06-05T14:07:20Z,2023-06-05T14:09:00Z,0.038984138524191726,0.0010311209672324365,0.02644975639496487,11,0.2358728515397345,2023-06-05T14:08:30Z,0.0010311209672324365
2023-06-05T14:09:10Z,647dec865869ec113f5f2228,2023-06-05T14:09:10Z,2023-06-05T14:09:09Z,AAPL,2023-06-05T14:09:08Z,183.64,183.63,100.0,183.62,300.0,17259249.0,183.196354894064,182.63,183.95,181.97,180.95,61996913.0,2.69,0.0149,284.36420602806834,183.64,0.026293884390668154,0.05370848688866767,-0.027414602497999513,-1,-1,2023-06-05T14:09:10Z,2023-06-05T14:09:10Z,-0.027414602497999513,-0.027414602497999513,1.0,1,-0.027414602497999513,2023-06-05T14:09:10Z,-0.027414602497999513
2023-06-05T14:09:20Z,647dec905869ec113f5f22f4,2023-06-05T14:09:20Z,2023-06-05T14:09:20Z,AAPL,2023-06-05T14:09:19Z,183.66,183.66,400.0,183.64,500.0,17310893.0,183.197680412292,182.63,183.95,181.97,180.95,61996913.0,2.71,0.015,-479.67224115629307,183.66,0.006465945789102534,0.04425997866875464,-0.037794032879652106,0,-1,2023-06-05T14:09:10Z,2023-06-05T14:09:20Z,-0.027414602497999513,-0.037794032879652106,1.0,2,-0.06520863537765162,2023-06-05T14:09:20Z,-0.037794032879652106
2023-06-05T14:09:30Z,647dec9a5869ec113f5f23b8,2023-06-05T14:09:30Z,2023-06-05T14:09:30Z,AAPL,2023-06-05T14:09:29Z,183.56,183.56,200.0,183.55,200.0,17377401.0,183.199147640197,182.63,183.95,181.97,180.95,61996913.0,2.61,0.0144,-142.1754027714939,183.56,-0.020223238897074225,0.03136333515558887,-0.05158657405266309,0,-1,2023-06-05T14:09:10Z,2023-06-05T14:09:30Z,-0.027414602497999513,-0.05158657405266309,1.0,3,-0.11679520943031471,2023-06-05T14:09:30Z,-0.05158657405266309
