Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
AAPL,177.74,,100,,300,17612295,
AAPL,177.745,,,,,17613652,2023-05-30T14:33:26Z
AAPL,177.72,177.73,300,177.71,400,17615059,2023-05-30T14:33:28Z
AAPL,177.745,177.71,100,177.7,300,17616761,
AAPL,177.705,,400,,100,17618091,2023-05-30T14:33:29Z
AAPL,177.7,177.7,200,177.68,200,17618898,2023-05-30T14:33:30Z
AAPL,177.6701,177.69,500,177.67,3200,17620650,2023-05-30T14:33:31Z
AAPL,177.66,177.67,100,177.66,400,17621840,2023-05-30T14:33:33Z
AAPL,177.665,,200,,100,17622717,
AAPL,177.67,177.68,100,,600,17624450,2023-05-30T14:33:34Z
AAPL,,,400,177.67,300,17624528,
AAPL,,,500,,200,17624875,2023-05-30T14:33:36Z
AAPL,,,,,300,17625902,2023-05-30T14:33:38Z
AAPL,,,600,177.66,400,17626667,
AAPL,,177.67,100,,300,17627293,2023-05-30T14:33:39Z
AAPL,177.665,,500,,200,17627479,2023-05-30T14:33:40Z
AAPL,,,400,,300,17627537,
AAPL,177.67,,,,400,17629037,2023-05-30T14:33:42Z
AAPL,,,,,100,17629313,2023-05-30T14:33:43Z
AAPL,177.6686,,600,,,17629794,2023-05-30T14:33:44Z
AAPL,177.56,177.58,300,177.53,,17671539,2023-05-30T14:33:46Z
AAPL,177.54,177.54,,,200,17688605,2023-05-30T14:33:47Z
AAPL,,,400,,100,17693598,2023-05-30T14:33:48Z
AAPL,177.5195,177.52,200,177.51,,17695674,
AAPL,177.52,177.53,500,,200,17697840,2023-05-30T14:33:50Z
AAPL,177.53,177.54,100,177.53,,17702136,
AAPL,177.565,177.57,500,177.55,300,17703570,2023-05-30T14:33:51Z
AAPL,,177.55,400,177.54,100,17703684,
AAPL,177.535,177.54,,177.53,300,17704539,2023-05-30T14:33:53Z
AAPL,177.54,,500,,,17705485,2023-05-30T14:33:54Z
AAPL,177.535,,,,,17706603,2023-05-30T14:33:56Z
