Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
TSLA,200.2687,,100,,,107082311,2023-05-31T18:48:50Z
TSLA,200.2629,,,,,107084611,2023-05-31T18:48:51Z
TSLA,200.2895,200.29,200,200.27,100,107092544,2023-05-31T18:48:52Z
TSLA,200.2603,,300,,,107094303,2023-05-31T18:48:53Z
TSLA,200.2902,,200,200.26,200,107099722,2023-05-31T18:48:54Z
TSLA,200.2999,200.3,,200.28,,107102232,2023-05-31T18:48:55Z
TSLA,200.2899,200.29,100,200.27,,107102926,2023-05-31T18:48:56Z
TSLA,200.28,,300,,100,107105113,2023-05-31T18:48:57Z
TSLA,200.23,200.27,200,200.23,400,107107977,2023-05-31T18:48:58Z
TSLA,200.255,,,200.24,200,107109729,2023-05-31T18:48:59Z
TSLA,200.25,200.28,100,200.25,300,107115216,2023-05-31T18:49:00Z
TSLA,200.2522,,,,,107117599,2023-05-31T18:49:01Z
TSLA,200.265,200.29,,200.27,100,107118434,2023-05-31T18:49:02Z
TSLA,200.28,,,,500,107119596,2023-05-31T18:49:03Z
TSLA,,,200,200.26,200,107121448,2023-05-31T18:49:04Z
TSLA,200.23,200.24,,200.23,100,107124939,2023-05-31T18:49:05Z
TSLA,200.3,200.29,100,200.27,,107137155,2023-05-31T18:49:06Z
TSLA,200.295,200.3,200,200.29,,107139403,2023-05-31T18:49:07Z
TSLA,200.2927,,,,,107141913,2023-05-31T18:49:08Z
TSLA,200.25,200.25,100,200.22,1200,107149568,2023-05-31T18:49:09Z
TSLA,200.23,200.27,,200.25,100,107150060,
TSLA,200.2455,200.26,,200.23,,107153779,2023-05-31T18:49:11Z
TSLA,200.212,200.22,,200.2,2500,107165403,2023-05-31T18:49:14Z
TSLA,200.1999,200.2,300,200.18,700,107177642,2023-05-31T18:49:15Z
TSLA,200.195,200.21,200,,100,107185362,2023-05-31T18:49:16Z
TSLA,200.1604,200.19,,200.16,300,107194641,2023-05-31T18:49:17Z
TSLA,200.175,,100,,200,107196583,2023-05-31T18:49:18Z
TSLA,200.18,,,200.17,,107200834,2023-05-31T18:49:19Z
TSLA,200.225,200.25,,200.23,100,107204994,
TSLA,200.2313,,,,200,107208493,2023-05-31T18:49:21Z
TSLA,200.245,200.26,300,,100,107210136,2023-05-31T18:49:22Z
TSLA,200.265,200.28,800,200.26,,107211648,2023-05-31T18:49:23Z
TSLA,200.285,200.29,100,200.27,,107213964,2023-05-31T18:49:24Z
TSLA,200.288,200.3,200,,200,107219194,2023-05-31T18:49:25Z
TSLA,200.295,,700,200.29,100,107221838,2023-05-31T18:49:26Z
TSLA,200.29,,,200.28,400,107223234,2023-05-31T18:49:27Z
TSLA,200.2684,200.28,200,200.26,100,107226919,2023-05-31T18:49:28Z
TSLA,200.2601,,,,,107227426,
TSLA,200.2952,200.3,600,200.28,,107231140,2023-05-31T18:49:30Z
TSLA,200.2862,200.29,100,200.26,,107232405,2023-05-31T18:49:31Z
TSLA,200.2599,200.25,200,200.23,400,107234977,2023-05-31T18:49:32Z
TSLA,200.27,200.29,100,200.27,100,107236616,2023-05-31T18:49:33Z
TSLA,200.28,,,,,107238553,2023-05-31T18:49:34Z
TSLA,200.2714,,,,200,107241384,2023-05-31T18:49:35Z
TSLA,200.27,,,,,107242180,2023-05-31T18:49:36Z
TSLA,200.2821,200.3,300,,300,107244251,2023-05-31T18:49:37Z
TSLA,200.28,200.29,200,,400,107244409,2023-05-31T18:49:38Z
TSLA,200.2652,200.28,100,200.26,200,107246887,
TSLA,200.26,200.27,,200.25,3700,107251122,2023-05-31T18:49:40Z
TSLA,200.2501,200.26,200,,3600,107251579,
TSLA,200.2311,200.25,300,200.23,400,107257251,2023-05-31T18:49:42Z
TSLA,200.24,,,,600,107258067,2023-05-31T18:49:43Z
TSLA,200.225,200.23,100,200.22,100,107260151,2023-05-31T18:49:44Z
TSLA,200.2101,200.24,300,200.21,,107261967,2023-05-31T18:49:45Z
TSLA,200.212,,,,,107262345,2023-05-31T18:49:46Z
TSLA,200.2205,200.23,200,,,107263347,2023-05-31T18:49:47Z
TSLA,200.22,200.21,300,200.19,300,107264486,2023-05-31T18:49:48Z
TSLA,200.1727,200.19,200,200.16,200,107271564,2023-05-31T18:49:49Z
TSLA,200.19,200.2,100,200.18,300,107273464,2023-05-31T18:49:50Z
TSLA,,,,,,107276029,2023-05-31T18:49:51Z
TSLA,,200.21,200,,100,107280484,2023-05-31T18:49:52Z
TSLA,200.205,,100,200.19,,107283483,2023-05-31T18:49:53Z
TSLA,200.208,200.22,,,300,107284506,2023-05-31T18:49:54Z
TSLA,200.2399,200.24,200,200.22,100,107287150,2023-05-31T18:49:55Z
TSLA,200.25,200.27,,200.24,,107288518,2023-05-31T18:49:56Z
TSLA,200.2486,200.25,100,200.23,,107294362,2023-05-31T18:49:57Z
TSLA,200.242,,,,300,107294899,2023-05-31T18:49:58Z
TSLA,200.2444,,300,,200,107295631,
TSLA,200.2191,200.22,200,200.19,300,107297325,2023-05-31T18:50:00Z
TSLA,200.19,200.2,,200.18,100,107297947,2023-05-31T18:50:01Z
TSLA,200.1854,200.22,,200.19,,107299961,2023-05-31T18:50:02Z
TSLA,200.1804,200.2,100,200.18,,107300906,2023-05-31T18:50:03Z
TSLA,200.19,200.22,,200.19,,107303543,2023-05-31T18:50:04Z
TSLA,200.235,200.25,200,200.22,200,107305408,2023-05-31T18:50:05Z
TSLA,200.18,200.2,300,200.17,100,107310101,2023-05-31T18:50:06Z
TSLA,,,,,,107311349,2023-05-31T18:50:07Z
TSLA,200.185,200.19,100,,,107312886,2023-05-31T18:50:08Z
TSLA,200.19,200.2,300,,,107313446,2023-05-31T18:50:09Z
TSLA,200.18,200.19,100,,,107314278,2023-05-31T18:50:10Z
TSLA,200.19,,,,200,107315220,
TSLA,200.18,200.2,300,,,107315544,2023-05-31T18:50:12Z
TSLA,200.1752,,,,300,107315728,
TSLA,200.1872,200.19,100,,100,107317457,2023-05-31T18:50:14Z
TSLA,200.1701,,,,500,107318037,
TSLA,200.1723,,200,,400,107319662,2023-05-31T18:50:16Z
TSLA,200.18,200.18,300,200.16,100,107323095,2023-05-31T18:50:17Z
TSLA,200.1316,200.15,200,200.13,,107350672,2023-05-31T18:50:18Z
TSLA,200.115,200.12,100,200.11,11300,107359165,2023-05-31T18:50:19Z
TSLA,200.1101,200.13,,,9300,107363001,2023-05-31T18:50:20Z
TSLA,200.07,200.09,,200.07,100,107396642,2023-05-31T18:50:21Z
TSLA,200.0831,200.11,,200.08,,107397607,2023-05-31T18:50:22Z
TSLA,200.02,200.04,200,200.02,,107416112,2023-05-31T18:50:23Z
TSLA,200.01,200.03,300,200.01,4000,107427064,2023-05-31T18:50:24Z
TSLA,200.011,,100,,600,107442605,2023-05-31T18:50:26Z
TSLA,199.85,199.87,,199.84,400,107483854,
TSLA,199.905,199.92,300,199.89,,107490491,2023-05-31T18:50:27Z
TSLA,199.9201,199.95,,199.93,200,107501137,2023-05-31T18:50:28Z
TSLA,199.94,,100,,,107505440,2023-05-31T18:50:29Z
TSLA,199.9699,199.97,300,199.94,400,107514285,2023-05-31T18:50:30Z
TSLA,199.87,199.89,100,199.86,200,107520001,2023-05-31T18:50:31Z
TSLA,199.8715,,,,,107522218,2023-05-31T18:50:32Z
TSLA,199.8301,199.86,200,199.83,,107536624,2023-05-31T18:50:33Z
TSLA,199.84,199.84,300,199.81,100,107540190,2023-05-31T18:50:34Z
TSLA,199.6063,199.63,100,199.6,1300,107591083,2023-05-31T18:50:35Z
TSLA,199.65,199.68,200,199.64,200,107596954,
TSLA,199.6801,199.7,100,199.68,,107605939,2023-05-31T18:50:37Z
TSLA,199.695,199.71,200,,500,107614309,2023-05-31T18:50:38Z
TSLA,199.62,199.64,100,199.61,400,107624719,2023-05-31T18:50:39Z
TSLA,199.67,199.68,200,199.65,300,107630868,2023-05-31T18:50:40Z
TSLA,199.6799,,100,199.66,,107636103,2023-05-31T18:50:41Z
TSLA,199.62,199.65,,199.62,,107643351,2023-05-31T18:50:42Z
TSLA,199.56,199.59,,199.56,400,107653824,2023-05-31T18:50:43Z
TSLA,199.594,199.58,200,199.57,200,107656841,2023-05-31T18:50:44Z
TSLA,199.55,,100,199.55,300,107679968,2023-05-31T18:50:45Z
TSLA,199.58,199.62,,199.57,200,107706068,2023-05-31T18:50:46Z
TSLA,199.4301,199.47,300,199.43,100,107742875,2023-05-31T18:50:48Z
TSLA,199.46,,,199.45,,107747388,2023-05-31T18:50:49Z
TSLA,199.45,199.46,100,199.44,,107760812,2023-05-31T18:50:50Z
TSLA,199.4599,199.47,200,,,107762948,
TSLA,199.48,199.48,400,199.46,300,107766499,2023-05-31T18:50:52Z
TSLA,199.42,199.44,100,199.4,,107771233,2023-05-31T18:50:53Z
TSLA,199.46,199.46,,199.45,,107778774,2023-05-31T18:50:54Z
TSLA,199.445,,,199.43,100,107781749,2023-05-31T18:50:55Z
TSLA,199.4015,199.43,200,199.4,,107787492,2023-05-31T18:50:56Z
TSLA,199.43,199.44,,199.41,200,107799960,2023-05-31T18:50:57Z
TSLA,199.38,199.42,100,199.38,,107802149,2023-05-31T18:50:58Z
TSLA,199.405,199.43,,199.4,300,107804677,2023-05-31T18:50:59Z
TSLA,199.4429,199.46,,199.44,,107810321,2023-05-31T18:51:00Z
TSLA,199.4786,199.48,,199.46,100,107814473,2023-05-31T18:51:01Z
TSLA,199.3735,199.4,200,199.38,,107823096,2023-05-31T18:51:02Z
TSLA,199.445,199.46,300,199.43,,107826443,2023-05-31T18:51:03Z
TSLA,199.4999,199.5,1200,199.47,,107831059,2023-05-31T18:51:04Z
TSLA,199.4699,199.47,100,199.44,,107837597,2023-05-31T18:51:05Z
TSLA,199.45,199.46,,,,107844993,2023-05-31T18:51:06Z
TSLA,199.4322,199.45,,199.43,,107848120,2023-05-31T18:51:07Z
TSLA,,199.46,,,,107848290,
TSLA,199.4899,199.49,,199.46,300,107854973,2023-05-31T18:51:09Z
TSLA,199.48,199.5,,199.47,100,107856392,2023-05-31T18:51:10Z
TSLA,199.46,199.47,200,199.45,,107860071,2023-05-31T18:51:11Z
TSLA,199.4791,199.49,100,199.46,,107866770,2023-05-31T18:51:12Z
TSLA,199.49,199.5,,,,107870420,2023-05-31T18:51:13Z
TSLA,199.4899,199.49,200,,200,107880010,2023-05-31T18:51:14Z
TSLA,199.37,199.41,300,199.37,300,107885999,2023-05-31T18:51:15Z
TSLA,199.4101,199.43,100,199.4,,107888444,2023-05-31T18:51:16Z
TSLA,199.42,199.44,200,199.41,100,107890607,2023-05-31T18:51:17Z
TSLA,199.41,,,199.4,300,107895342,2023-05-31T18:51:18Z
TSLA,199.39,199.42,100,199.39,,107896827,
TSLA,199.41,199.45,200,199.42,100,107900951,2023-05-31T18:51:20Z
TSLA,199.417,,,,,107903284,2023-05-31T18:51:21Z
TSLA,199.39,199.41,100,199.39,300,107910912,2023-05-31T18:51:22Z
TSLA,199.3919,,,,,107912485,2023-05-31T18:51:23Z
TSLA,199.435,199.45,200,199.42,100,107919703,2023-05-31T18:51:24Z
TSLA,199.43,,300,,300,107920538,2023-05-31T18:51:25Z
TSLA,199.42,,100,199.41,,107928568,2023-05-31T18:51:26Z
TSLA,199.4,199.43,,199.4,100,107929719,2023-05-31T18:51:27Z
TSLA,199.4183,,,,,107934161,2023-05-31T18:51:28Z
TSLA,199.41,199.42,300,,600,107937392,2023-05-31T18:51:29Z
TSLA,199.325,199.33,100,199.31,100,107947273,2023-05-31T18:51:30Z
TSLA,199.37,199.39,,199.35,200,107953797,2023-05-31T18:51:31Z
TSLA,199.35,199.37,200,199.33,300,107956408,2023-05-31T18:51:32Z
TSLA,199.36,199.38,100,199.34,200,107964712,2023-05-31T18:51:33Z
TSLA,,199.39,,199.35,100,107966211,2023-05-31T18:51:34Z
TSLA,199.374,199.38,300,199.34,200,107968644,2023-05-31T18:51:35Z
TSLA,199.325,199.34,200,199.31,100,107973445,2023-05-31T18:51:36Z
TSLA,199.305,199.32,100,199.29,200,107985444,2023-05-31T18:51:37Z
TSLA,199.345,199.35,200,199.33,,107991301,2023-05-31T18:51:38Z
TSLA,199.3254,,,199.31,100,107996017,2023-05-31T18:51:39Z
TSLA,199.3351,,100,199.32,200,107998845,2023-05-31T18:51:40Z
TSLA,199.335,,300,,300,108004797,2023-05-31T18:51:41Z
TSLA,199.33,199.34,100,,200,108007114,2023-05-31T18:51:42Z
TSLA,199.23,199.24,200,199.22,300,108016166,2023-05-31T18:51:43Z
TSLA,199.248,199.26,100,199.24,,108020629,2023-05-31T18:51:44Z
TSLA,199.29,199.29,,199.26,200,108036027,2023-05-31T18:51:45Z
TSLA,199.25,199.26,,199.24,100,108040343,2023-05-31T18:51:46Z
TSLA,199.22,199.24,,199.22,200,108043062,2023-05-31T18:51:47Z
TSLA,199.2398,199.26,,199.23,300,108051567,2023-05-31T18:51:48Z
TSLA,199.23,199.25,300,199.22,100,108058723,2023-05-31T18:51:49Z
TSLA,199.15,199.15,100,199.12,300,108076173,2023-05-31T18:51:50Z
TSLA,199.148,199.16,,199.13,200,108089732,2023-05-31T18:51:51Z
TSLA,199.1442,199.15,,199.12,300,108094852,2023-05-31T18:51:52Z
TSLA,199.14,199.16,,199.13,200,108100914,2023-05-31T18:51:53Z
TSLA,199.135,199.14,,199.12,300,108102874,2023-05-31T18:51:54Z
TSLA,,199.15,300,,100,108121010,2023-05-31T18:51:55Z
TSLA,199.06,199.09,200,199.06,,108142247,2023-05-31T18:51:56Z
TSLA,199.08,,100,199.07,,108144857,2023-05-31T18:51:57Z
TSLA,199.15,199.16,,199.14,200,108155426,2023-05-31T18:51:58Z
TSLA,199.1699,,,199.13,300,108164869,2023-05-31T18:51:59Z
TSLA,199.1499,199.15,1100,199.14,100,108170516,2023-05-31T18:52:00Z
TSLA,199.1496,199.13,100,199.11,,108177238,2023-05-31T18:52:01Z
TSLA,199.15,199.15,500,199.12,,108182573,2023-05-31T18:52:02Z
TSLA,199.1501,199.19,100,199.16,300,108187250,2023-05-31T18:52:03Z
TSLA,199.2098,199.22,800,199.2,100,108195851,2023-05-31T18:52:04Z
TSLA,199.2882,199.29,1500,199.26,400,108208892,2023-05-31T18:52:05Z
TSLA,199.28,199.28,100,,,108224347,2023-05-31T18:52:06Z
TSLA,199.29,199.3,,199.27,100,108238561,2023-05-31T18:52:07Z
TSLA,199.2839,199.29,,,,108240101,2023-05-31T18:52:08Z
TSLA,199.29,199.3,,,,108245058,2023-05-31T18:52:09Z
TSLA,199.35,199.36,200,199.33,200,108254796,2023-05-31T18:52:10Z
TSLA,199.3478,199.35,400,199.32,400,108263727,2023-05-31T18:52:11Z
TSLA,199.3263,199.36,,,,108291191,2023-05-31T18:52:12Z
TSLA,199.3399,199.34,300,,100,108297580,2023-05-31T18:52:13Z
TSLA,199.32,199.33,,199.31,,108303461,2023-05-31T18:52:14Z
TSLA,199.305,199.32,100,199.3,200,108308469,2023-05-31T18:52:15Z
TSLA,199.3,199.31,200,199.28,,108311949,2023-05-31T18:52:16Z
TSLA,199.2801,,,,,108317619,2023-05-31T18:52:17Z
TSLA,199.3282,199.33,300,199.31,300,108319335,2023-05-31T18:52:18Z
TSLA,199.33,,100,,100,108321901,2023-05-31T18:52:19Z
TSLA,199.3496,199.35,,199.32,,108325171,2023-05-31T18:52:20Z
TSLA,199.345,199.36,,199.33,200,108325830,2023-05-31T18:52:21Z
TSLA,199.36,199.37,,199.34,100,108328059,2023-05-31T18:52:22Z
TSLA,199.355,,,,500,108332132,2023-05-31T18:52:23Z
TSLA,199.34,,,,600,108333213,2023-05-31T18:52:24Z
TSLA,199.3768,199.39,,199.37,100,108341349,2023-05-31T18:52:25Z
TSLA,199.405,199.42,,199.39,,108352498,2023-05-31T18:52:26Z
TSLA,199.3405,199.36,,199.34,200,108355780,2023-05-31T18:52:27Z
TSLA,199.3401,199.37,,,,108359030,2023-05-31T18:52:28Z
TSLA,199.355,,,199.35,100,108360397,2023-05-31T18:52:29Z
TSLA,199.3641,,200,,,108360647,2023-05-31T18:52:30Z
TSLA,199.3657,199.39,100,,300,108369713,2023-05-31T18:52:31Z
TSLA,199.36,199.37,300,,,108372186,2023-05-31T18:52:32Z
TSLA,199.3599,199.36,100,199.34,,108374020,2023-05-31T18:52:33Z
TSLA,199.37,199.37,300,,,108376453,2023-05-31T18:52:34Z
TSLA,199.289,199.3,100,199.27,200,108379974,2023-05-31T18:52:35Z
TSLA,199.28,,200,,,108386060,2023-05-31T18:52:36Z
TSLA,199.24,199.28,,199.24,100,108391061,2023-05-31T18:52:37Z
TSLA,199.26,,500,,,108391538,2023-05-31T18:52:38Z
TSLA,199.2401,,,,200,108397485,2023-05-31T18:52:39Z
TSLA,199.2934,199.32,200,199.28,,108400348,2023-05-31T18:52:40Z
