,CurTime,Last,Ask,Bid
935,2023-06-09T16:05:50Z,246.4114,246.44,246.41
936,2023-06-09T16:06:00Z,246.41,246.46,246.43
937,2023-06-09T16:06:10Z,246.66,246.68,246.64
938,2023-06-09T16:06:20Z,246.5476,246.56,246.53
939,2023-06-09T16:06:30Z,246.405,246.42,246.39
940,2023-06-09T16:06:40Z,246.325,246.35,246.3
941,2023-06-09T16:06:50Z,246.3,246.31,246.27
942,2023-06-09T16:07:00Z,246.2201,246.25,246.21
943,2023-06-09T16:07:10Z,246.408,246.42,246.39
944,2023-06-09T16:07:20Z,246.38,246.41,246.38
945,2023-06-09T16:07:30Z,246.5764,246.58,246.56
946,2023-06-09T16:07:40Z,246.6606,246.68,246.63
947,2023-06-09T16:07:50Z,246.7071,246.74,246.7
948,2023-06-09T16:08:00Z,246.7985,246.8,246.78
949,2023-06-09T16:08:10Z,246.65,246.66,246.62
950,2023-06-09T16:08:20Z,246.56,246.6,246.56
951,2023-06-09T16:08:30Z,246.48,246.54,246.5
952,2023-06-09T16:08:40Z,246.5855,246.59,246.56
953,2023-06-09T16:08:50Z,246.4685,246.5,246.45
954,2023-06-09T16:09:00Z,246.5897,246.59,246.54
955,2023-06-09T16:09:10Z,246.405,246.42,246.39
956,2023-06-09T16:09:20Z,246.485,246.48,246.45
957,2023-06-09T16:09:30Z,246.445,246.46,246.43
958,2023-06-09T16:09:40Z,246.41,246.43,246.39
959,2023-06-09T16:09:50Z,246.38,246.37,246.35
960,2023-06-09T16:10:00Z,246.355,246.36,246.33
961,2023-06-09T16:10:10Z,246.4399,246.44,246.41
962,2023-06-09T16:10:20Z,246.53,246.53,246.51
963,2023-06-09T16:10:30Z,246.52,246.53,246.5
964,2023-06-09T16:10:40Z,246.62,246.64,246.6
965,2023-06-09T16:10:50Z,246.56,246.58,246.55
966,2023-06-09T16:11:00Z,246.56,246.58,246.55
967,2023-06-09T16:11:10Z,246.5399,246.54,246.51
968,2023-06-09T16:11:20Z,246.5897,246.61,246.58
969,2023-06-09T16:11:30Z,246.6672,246.68,246.66
970,2023-06-09T16:11:40Z,246.98,246.98,246.95
971,2023-06-09T16:11:50Z,246.69,246.7,246.67
972,2023-06-09T16:12:00Z,246.7385,246.74,246.72
973,2023-06-09T16:12:10Z,246.7,246.7,246.67
974,2023-06-09T16:12:20Z,246.71,246.72,246.68
975,2023-06-09T16:12:30Z,246.8224,246.84,246.81
976,2023-06-09T16:12:40Z,246.955,246.97,246.94
977,2023-06-09T16:12:50Z,246.83,246.86,246.81
978,2023-06-09T16:13:00Z,246.725,246.75,246.71
979,2023-06-09T16:13:10Z,246.77,246.8,246.77
980,2023-06-09T16:13:20Z,246.87,246.89,246.86
981,2023-06-09T16:13:30Z,246.8395,246.85,246.83
982,2023-06-09T16:13:40Z,246.83,246.85,246.81
983,2023-06-09T16:13:50Z,246.86,246.89,246.86
984,2023-06-09T16:14:00Z,246.8602,246.86,246.83
985,2023-06-09T16:14:10Z,246.885,246.9,246.87
986,2023-06-09T16:14:20Z,247.005,247.02,246.98
987,2023-06-09T16:14:30Z,247.0618,247.08,247.06
988,2023-06-09T16:14:40Z,247.1802,247.2,247.18
989,2023-06-09T16:14:50Z,247.38,247.42,247.38
990,2023-06-09T16:15:00Z,247.17,247.2,247.17
991,2023-06-09T16:15:10Z,246.88,246.89,246.87
992,2023-06-09T16:15:20Z,247.0001,247.03,247.0
993,2023-06-09T16:15:30Z,247.1097,247.12,247.09
994,2023-06-09T16:15:40Z,247.185,247.21,247.18
995,2023-06-09T16:15:50Z,247.1734,247.2,247.17
996,2023-06-09T16:16:00Z,247.0701,247.11,247.07
997,2023-06-09T16:16:10Z,247.0546,247.07,247.04
998,2023-06-09T16:16:20Z,247.29,247.29,247.27
999,2023-06-09T16:16:30Z,247.145,247.17,247.13
1000,2023-06-09T16:16:40Z,247.13,247.14,247.11
1001,2023-06-09T16:16:50Z,247.1095,247.12,247.1
1002,2023-06-09T16:17:00Z,247.06,247.1,247.07
1003,2023-06-09T16:17:10Z,247.19,247.21,247.17
