{'Time': '2023-07-31T13:51:00Z', 'BUY': 133.0, 'SELL': 132.98}
{'Time': '2023-07-31T13:51:10Z', 'BUY': 133.1, 'SELL': 133.09}
{'Time': '2023-07-31T13:51:20Z', 'BUY': 133.12, 'SELL': 133.1}
{'Time': '2023-07-31T13:51:30Z', 'BUY': 133.11, 'SELL': 133.1}
{'Time': '2023-07-31T13:51:40Z', 'SELL': 133.09, 'BUY': 133.1}
{'Time': '2023-07-31T13:51:50Z', 'SELL': 133.13, 'BUY': 133.14}
{'Time': '2023-07-31T13:52:00Z', 'SELL': 133.13, 'BUY': 133.14}
{'Time': '2023-07-31T13:52:10Z', 'BUY': 133.12, 'SELL': 133.11}
{'Time': '2023-07-31T13:52:20Z', 'BUY': 133.23, 'SELL': 133.21}
{'Time': '2023-07-31T13:52:30Z', 'SELL': 133.21, 'BUY': 133.22}
{'Time': '2023-07-31T13:52:40Z', 'SELL': 133.23, 'BUY': 133.24}
{'Time': '2023-07-31T13:52:50Z', 'BUY': 133.19, 'SELL': 133.18}
{'Time': '2023-07-31T13:53:00Z', 'SELL': 133.13, 'BUY': 133.15}
{'Time': '2023-07-31T13:53:10Z', 'BUY': 133.17, 'SELL': 133.16}
{'Time': '2023-07-31T13:53:20Z', 'SELL': 133.07, 'BUY': 133.08}
{'Time': '2023-07-31T13:53:30Z', 'BUY': 133.05, 'SELL': 133.04}
{'Time': '2023-07-31T13:53:40Z', 'BUY': 132.94, 'SELL': 132.92}
{'Time': '2023-07-31T13:53:50Z', 'SELL': 132.91, 'BUY': 132.92}
{'Time': '2023-07-31T13:54:00Z', 'BUY': 132.99, 'SELL': 132.96}
{'Time': '2023-07-31T13:54:10Z', 'SELL': 132.91, 'BUY': 132.92}
{'Time': '2023-07-31T13:54:20Z', 'SELL': 132.92, 'BUY': 132.94}
{'Time': '2023-07-31T13:54:30Z', 'BUY': 132.91, 'SELL': 132.9}
{'Time': '2023-07-31T13:54:40Z', 'SELL': 132.92, 'BUY': 132.94}
{'Time': '2023-07-31T13:54:50Z', 'SELL': 132.89, 'BUY': 132.9}
{'Time': '2023-07-31T13:55:00Z', 'SELL': 132.88, 'BUY': 132.89}
{'Time': '2023-07-31T13:55:10Z', 'SELL': 132.88, 'BUY': 132.89}
