Symbol,Open,High,Low,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
MSFT,332.29001,335.94,330.34,330.7,330.72,100,330.69,100,10069815,2023-05-31T15:09:26Z
MSFT,332.29001,335.94,330.34,330.79,330.82,200,330.79,200,10086490,2023-05-31T15:09:36Z
MSFT,332.29001,335.94,330.34,330.79,330.8,100,330.78,100,10096543,2023-05-31T15:09:46Z
MSFT,332.29001,335.94,330.34,330.725,330.72,100,330.71,100,10103583,2023-05-31T15:09:56Z
MSFT,332.29001,335.94,330.34,330.66,330.65,100,330.63,100,10113420,2023-05-31T15:10:06Z
MSFT,332.29001,335.94,330.34,330.6116,330.62,200,330.6,100,10118592,2023-05-31T15:10:16Z
MSFT,332.29001,335.94,330.34,330.58,330.6,100,330.57,100,10133791,2023-05-31T15:10:26Z
MSFT,332.29001,335.94,330.34,330.53,330.56,200,330.53,200,10154174,2023-05-31T15:10:36Z
MSFT,332.29001,335.94,330.34,330.55,330.59,100,330.55,100,10162569,2023-05-31T15:10:46Z
MSFT,332.29001,335.94,330.34,330.75,330.78,100,330.75,100,10171777,2023-05-31T15:10:56Z
MSFT,332.29001,335.94,330.34,330.86,330.88,100,330.83,200,10183490,2023-05-31T15:11:05Z
MSFT,332.29001,335.94,330.34,330.79,330.82,100,330.79,100,10191399,2023-05-31T15:11:15Z
MSFT,332.29001,335.94,330.34,330.8,330.82,200,330.8,300,10197313,2023-05-31T15:11:26Z
MSFT,332.29001,335.94,330.34,330.83,330.87,200,330.83,200,10209245,2023-05-31T15:11:36Z
MSFT,332.29001,335.94,330.34,330.87,330.89,200,330.87,100,10214639,2023-05-31T15:11:47Z
MSFT,332.29001,335.94,330.34,330.8652,330.87,200,330.86,100,10226211,2023-05-31T15:11:56Z
MSFT,332.29001,335.94,330.34,330.77,330.79,100,330.76,200,10241369,2023-05-31T15:12:06Z
MSFT,332.29001,335.94,330.34,330.81,330.84,100,330.8,100,10249626,2023-05-31T15:12:15Z
MSFT,332.29001,335.94,330.34,330.78,330.8,300,330.77,100,10258877,2023-05-31T15:12:25Z
MSFT,332.29001,335.94,330.34,330.63,330.63,100,330.61,100,10278844,2023-05-31T15:12:36Z
MSFT,332.29001,335.94,330.34,330.63,330.66,100,330.63,100,10286144,2023-05-31T15:12:45Z
MSFT,332.29001,335.94,330.34,330.55,330.54,100,330.53,100,10290373,2023-05-31T15:12:54Z
MSFT,332.29001,335.94,330.34,330.61,330.63,200,330.59,200,10302788,2023-05-31T15:13:06Z
MSFT,332.29001,335.94,330.34,330.81,330.82,100,330.8,300,10307974,2023-05-31T15:13:14Z
