BTCUSD,27761.44,,,27762.88,1,2023-05-30T08:07:33Z
BTCUSD,27761.04,,,27762.08,1,2023-05-30T08:07:33Z
BTCUSD,27761.84,,,27763.68,1,2023-05-30T08:07:51Z
BTCUSD,27762.24,,,27764.48,1,2023-05-30T08:07:52Z
BTCUSD,27762.74,27761,0.1836,,,2023-05-30T08:07:56Z
BTCUSD,27763.04,,,27765.08,1,2023-05-30T08:07:57Z
BTCUSD,27761.94,,,27762.88,1,2023-05-30T08:08:10Z
BTCUSD,27761.54,,,27762.08,1,2023-05-30T08:08:12Z
BTCUSD,27761.04,27760,0.1836,,,2023-05-30T08:08:12Z
BTCUSD,27759.9,27757.73,1,,,2023-05-30T08:08:13Z
BTCUSD,27758,,,27758.28,1,2023-05-30T08:08:13Z
BTCUSD,27757.14,27756,0.1836,,,2023-05-30T08:08:13Z
BTCUSD,27756.84,,,27757.68,1,2023-05-30T08:08:14Z
BTCUSD,27756.34,27755,0.1836,,,2023-05-30T08:08:14Z
BTCUSD,27756.89,,,27758.78,1,2023-05-30T08:08:38Z
BTCUSD,27757.94,,,27760.88,1,2023-05-30T08:08:48Z
BTCUSD,27758.44,27756,0.1836,,,2023-05-30T08:08:48Z
BTCUSD,27757.49,,,27758.98,1,2023-05-30T08:09:27Z
BTCUSD,27756.99,27755,0.0367,,,2023-05-30T08:09:28Z
BTCUSD,27757.54,,,27760.08,1,2023-05-30T08:09:52Z
BTCUSD,27758.04,27756,0.1836,,,2023-05-30T08:09:52Z
BTCUSD,27758.39,,,27760.78,1,2023-05-30T08:10:01Z
BTCUSD,27758.89,27757,0.1836,,,2023-05-30T08:10:02Z
BTCUSD,27759.04,,,27761.08,1,2023-05-30T08:10:05Z
BTCUSD,27759.54,27758,0.1836,,,2023-05-30T08:10:05Z
BTCUSD,27759.04,27757,0.0367,,,2023-05-30T08:10:33Z
BTCUSD,27757.92,,,27758.83,1,2023-05-30T08:10:33Z
BTCUSD,27757.46,,,27757.93,1,2023-05-30T08:10:36Z
BTCUSD,27758.52,,,27760.03,1,2023-05-30T08:10:51Z
BTCUSD,27758.59,27757.15,1,,,2023-05-30T08:10:51Z
BTCUSD,27758.52,27757,0.1836,,,2023-05-30T08:10:52Z
BTCUSD,27759.32,27758.6,1,,,2023-05-30T08:11:03Z
BTCUSD,27758.26,,,27757.93,1,2023-05-30T08:11:04Z
BTCUSD,27757.61,27757.29,1,,,2023-05-30T08:11:04Z
BTCUSD,27757.46,27757,0.1836,,,2023-05-30T08:11:04Z
BTCUSD,27757.32,27756.7,1,,,2023-05-30T08:11:16Z
BTCUSD,27756.96,27756,0.1836,,,2023-05-30T08:11:16Z
BTCUSD,27755.86,,,27755.72,1,2023-05-30T08:11:16Z
BTCUSD,27755.64,27755.57,1,,,2023-05-30T08:11:17Z
BTCUSD,27755.44,,,27755.32,1,2023-05-30T08:11:17Z
BTCUSD,27755.16,27755,0.1836,,,2023-05-30T08:11:17Z
BTCUSD,27754.96,,,27754.92,1,2023-05-30T08:11:28Z
BTCUSD,27753.96,27753,0.1836,,,2023-05-30T08:11:28Z
BTCUSD,27753.86,,,27754.72,1,2023-05-30T08:11:29Z
