{'Time': '2023-06-09T18:43:30Z', 'OrderTime': '2023-06-09T18:43:30Z', 'Price': 244.59, 'Balance': -244.4, 'VolumeSum': 252.0}
{'Time': '2023-06-09T19:16:00Z', 'OrderTime': '2023-06-09T19:16:00Z', 'Price': 243.72, 'Balance': -0.6800000000000068, 'VolumeSum': -224.0}
{'Time': '2023-06-09T19:40:40Z', 'OrderTime': '2023-06-09T19:40:40Z', 'Price': 243.8, 'Balance': -244.48000000000002, 'VolumeSum': 1014.0}

{'Time': '2023-06-12T14:07:20Z', 'OrderTime': '2023-06-12T14:07:20Z', 'Price': 248.41, 'Balance': -248.41, 'VolumeSum': 246.0}
{'Time': '2023-06-12T14:21:30Z', 'OrderTime': '2023-06-12T14:21:30Z', 'Price': 248.39, 'Balance': -0.020000000000010232, 'VolumeSum': -43.0}
{'Time': '2023-06-12T14:24:20Z', 'OrderTime': '2023-06-12T14:24:20Z', 'Price': 247.99, 'Balance': -248.01000000000002, 'VolumeSum': 1121.0}
{'Time': '2023-06-12T15:23:50Z', 'OrderTime': '2023-06-12T15:23:50Z', 'Price': 247.33, 'Balance': -0.6800000000000068, 'VolumeSum': -300.0}

{'Time': '2023-06-13T13:30:10Z', 'OrderTime': '2023-06-13T13:30:10Z', 'Price': 253.27, 'Balance': -253.27, 'VolumeSum': 6.0}
{'Time': '2023-06-13T13:30:40Z', 'OrderTime': '2023-06-13T13:30:40Z', 'Price': 253.35, 'Balance': 0.08, 'VolumeSum': -505.0}
{'Time': '2023-06-13T13:38:50Z', 'OrderTime': '2023-06-13T13:38:50Z', 'Price': 254.22, 'Balance': -254.22, 'VolumeSum': 192.0}
{'Time': '2023-06-13T13:39:30Z', 'OrderTime': '2023-06-13T13:39:30Z', 'Price': 254.26, 'Balance': 0.03999999999999204, 'VolumeSum': -225.0}
{'Time': '2023-06-13T13:46:10Z', 'OrderTime': '2023-06-13T13:46:10Z', 'Price': 253.78, 'Balance': -253.74, 'VolumeSum': 300.0}
{'Time': '2023-06-13T13:47:30Z', 'OrderTime': '2023-06-13T13:47:30Z', 'Price': 253.37, 'Balance': -0.37000000000000455, 'VolumeSum': -186.0}
{'Time': '2023-06-13T13:50:30Z', 'OrderTime': '2023-06-13T13:50:30Z', 'Price': 253.2, 'Balance': -253.57, 'VolumeSum': 402.0}
{'Time': '2023-06-13T13:54:00Z', 'OrderTime': '2023-06-13T13:54:00Z', 'Price': 254.11, 'Balance': 0.5400000000000205, 'VolumeSum': -100.0}
{'Time': '2023-06-13T13:54:20Z', 'OrderTime': '2023-06-13T13:54:20Z', 'Price': 254.19, 'Balance': -253.64999999999998, 'VolumeSum': 646.0}
{'Time': '2023-06-13T13:59:10Z', 'OrderTime': '2023-06-13T13:59:10Z', 'Price': 253.57, 'Balance': -0.07999999999998408, 'VolumeSum': -514.0}
{'Time': '2023-06-13T14:06:20Z', 'OrderTime': '2023-06-13T14:06:20Z', 'Price': 254.14, 'Balance': -254.21999999999997, 'VolumeSum': 269.0}
{'Time': '2023-06-13T14:07:10Z', 'OrderTime': '2023-06-13T14:07:10Z', 'Price': 253.47, 'Balance': -0.7499999999999716, 'VolumeSum': -1120.0}
{'Time': '2023-06-13T14:09:10Z', 'OrderTime': '2023-06-13T14:09:10Z', 'Price': 253.44, 'Balance': -254.18999999999997, 'VolumeSum': 150.0}
{'Time': '2023-06-13T14:11:20Z', 'OrderTime': '2023-06-13T14:11:20Z', 'Price': 253.42, 'Balance': -0.7699999999999818, 'VolumeSum': -219.0}
{'Time': '2023-06-13T14:12:30Z', 'OrderTime': '2023-06-13T14:12:30Z', 'Price': 253.38, 'Balance': -254.14999999999998, 'VolumeSum': 100.0}
{'Time': '2023-06-13T14:12:50Z', 'OrderTime': '2023-06-13T14:12:50Z', 'Price': 252.74, 'Balance': -1.4099999999999682, 'VolumeSum': -79.0}
{'Time': '2023-06-13T14:14:10Z', 'OrderTime': '2023-06-13T14:14:10Z', 'Price': 252.37, 'Balance': -253.77999999999997, 'VolumeSum': 886.0}
{'Time': '2023-06-13T14:14:50Z', 'OrderTime': '2023-06-13T14:14:50Z', 'Price': 252.83, 'Balance': -0.9499999999999602, 'VolumeSum': -156.0}
{'Time': '2023-06-13T14:15:30Z', 'OrderTime': '2023-06-13T14:15:30Z', 'Price': 252.78, 'Balance': -253.72999999999996, 'VolumeSum': 334.0}
{'Time': '2023-06-13T14:15:40Z', 'OrderTime': '2023-06-13T14:15:40Z', 'Price': 252.75, 'Balance': -0.9799999999999613, 'VolumeSum': -123.0}
{'Time': '2023-06-13T14:19:00Z', 'OrderTime': '2023-06-13T14:19:00Z', 'Price': 252.28, 'Balance': -253.25999999999996, 'VolumeSum': 800.0}
{'Time': '2023-06-13T14:20:30Z', 'OrderTime': '2023-06-13T14:20:30Z', 'Price': 252.53, 'Balance': -0.7299999999999613, 'VolumeSum': -82.0}
{'Time': '2023-06-13T14:25:30Z', 'OrderTime': '2023-06-13T14:25:30Z', 'Price': 253.3, 'Balance': -254.02999999999997, 'VolumeSum': 310.0}
{'Time': '2023-06-13T14:26:00Z', 'OrderTime': '2023-06-13T14:26:00Z', 'Price': 253.07, 'Balance': -0.9599999999999795, 'VolumeSum': -195.0}
{'Time': '2023-06-13T14:26:30Z', 'OrderTime': '2023-06-13T14:26:30Z', 'Price': 252.93, 'Balance': -253.89, 'VolumeSum': 252.0}
{'Time': '2023-06-13T14:28:50Z', 'OrderTime': '2023-06-13T14:28:50Z', 'Price': 252.17, 'Balance': -1.7199999999999989, 'VolumeSum': -661.0}
{'Time': '2023-06-13T14:49:00Z', 'OrderTime': '2023-06-13T14:49:00Z', 'Price': 252.23, 'Balance': -253.95, 'VolumeSum': 234.0}
{'Time': '2023-06-13T14:56:40Z', 'OrderTime': '2023-06-13T14:56:40Z', 'Price': 253.41, 'Balance': -0.539999999999992, 'VolumeSum': -296.0}
{'Time': '2023-06-13T15:07:20Z', 'OrderTime': '2023-06-13T15:07:20Z', 'Price': 254.05, 'Balance': -254.59, 'VolumeSum': 1004.0}
{'Time': '2023-06-13T15:08:40Z', 'OrderTime': '2023-06-13T15:08:40Z', 'Price': 254.34, 'Balance': -0.25, 'VolumeSum': -200.0}
{'Time': '2023-06-13T15:11:00Z', 'OrderTime': '2023-06-13T15:11:00Z', 'Price': 254.1, 'Balance': -254.35, 'VolumeSum': 332.0}
{'Time': '2023-06-13T15:21:30Z', 'OrderTime': '2023-06-13T15:21:30Z', 'Price': 254.49, 'Balance': 0.14000000000001478, 'VolumeSum': -688.0}
{'Time': '2023-06-13T15:24:00Z', 'OrderTime': '2023-06-13T15:24:00Z', 'Price': 254.43, 'Balance': -254.29, 'VolumeSum': 581.0}
{'Time': '2023-06-13T15:24:10Z', 'OrderTime': '2023-06-13T15:24:10Z', 'Price': 253.86, 'Balance': -0.4299999999999784, 'VolumeSum': -486.0}
{'Time': '2023-06-13T15:26:30Z', 'OrderTime': '2023-06-13T15:26:30Z', 'Price': 254.26, 'Balance': -254.68999999999997, 'VolumeSum': 447.0}
