High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
12.31,12.3,12.31,12.3,2016-12-06T16:02:00Z,60300,8,24600,0,False,False,18,0,0,10,35700,1481040120000,Closed
12.31,12.3,12.31,12.3,2016-12-06T16:03:00Z,36900,10,18000,0,False,False,21,0,0,11,18900,1481040180000,Closed
12.3,12.28,12.3,12.28,2016-12-06T16:04:00Z,97410,22,71460,0,False,False,34,0,0,12,25950,1481040240000,Closed
12.29,12.27,12.28,12.27,2016-12-06T16:05:00Z,97110,34,59610,0,False,False,50,0,0,16,37500,1481040300000,Closed
12.28,12.27,12.28,12.27,2016-12-06T16:06:00Z,30045,5,15045,0,False,False,11,0,0,6,15000,1481040360000,Closed
12.28,12.27,12.27,12.27,2016-12-06T16:07:00Z,76500,6,22500,0,False,False,10,0,0,4,54000,1481040420000,Closed
12.29,12.27,12.27,12.28,2016-12-06T16:08:00Z,105090,15,27750,0,False,False,38,0,0,23,77340,1481040480000,Closed
12.29,12.28,12.28,12.28,2016-12-06T16:09:00Z,33720,4,9000,0,False,False,10,0,0,6,24720,1481040540000,Closed
12.28,12.28,12.28,12.28,2016-12-06T16:10:00Z,28350,5,8055,0,False,False,8,0,0,3,20295,1481040600000,Closed
12.28,12.26,12.28,12.27,2016-12-06T16:11:00Z,162780,39,116280,0,False,False,62,0,0,23,46500,1481040660000,Closed
12.28,12.25,12.27,12.26,2016-12-06T16:12:00Z,115545,21,70545,0,False,False,34,0,0,13,45000,1481040720000,Closed
12.26,12.25,12.26,12.25,2016-12-06T16:13:00Z,69000,11,30000,0,False,False,25,0,0,14,39000,1481040780000,Closed
12.27,12.25,12.26,12.26,2016-12-06T16:14:00Z,107445,25,39405,0,False,False,61,0,0,36,68040,1481040840000,Closed
12.26,12.25,12.25,12.26,2016-12-06T16:15:00Z,78705,6,13500,0,False,False,27,0,0,21,65205,1481040900000,Closed
12.27,12.26,12.26,12.27,2016-12-06T16:16:00Z,152400,17,45825,0,False,False,48,0,0,31,106575,1481040960000,Closed
12.26,12.26,12.26,12.26,2016-12-06T16:17:00Z,88155,9,38655,0,False,False,12,0,0,3,49500,1481041020000,Closed
12.26,12.24,12.26,12.25,2016-12-06T16:18:00Z,223020,57,141795,0,False,False,77,0,0,20,81225,1481041080000,Closed
12.25,12.23,12.25,12.23,2016-12-06T16:19:00Z,62685,16,41685,0,False,False,21,0,0,5,21000,1481041140000,Closed
12.24,12.23,12.24,12.24,2016-12-06T16:20:00Z,123495,14,56235,0,False,False,27,0,0,13,67260,1481041200000,Closed
12.25,12.22,12.24,12.24,2016-12-06T16:21:00Z,262050,51,158145,0,False,False,74,0,0,23,103905,1481041260000,Closed
12.25,12.24,12.25,12.24,2016-12-06T16:22:00Z,12000,5,10500,0,False,False,6,0,0,1,1500,1481041320000,Closed
12.25,12.23,12.24,12.24,2016-12-06T16:23:00Z,116190,25,51600,0,False,False,58,0,0,33,64590,1481041380000,Closed
12.25,12.23,12.25,12.24,2016-12-06T16:24:00Z,30000,5,7500,0,False,False,11,0,0,6,22500,1481041440000,Closed
12.25,12.21,12.24,12.21,2016-12-06T16:25:00Z,178335,42,138945,0,False,False,58,0,0,16,39390,1481041500000,Closed
12.22,12.19,12.21,12.21,2016-12-06T16:26:00Z,594915,126,444735,0,False,False,174,0,0,48,150180,1481041560000,Closed
12.23,12.21,12.21,12.23,2016-12-06T16:27:00Z,116625,20,39000,0,False,False,57,0,0,37,77625,1481041620000,Closed
12.24,12.23,12.23,12.24,2016-12-06T16:28:00Z,52500,14,22500,0,False,False,27,0,0,13,30000,1481041680000,Closed
12.24,12.22,12.23,12.24,2016-12-06T16:29:00Z,122865,17,75225,0,False,False,42,0,0,25,47640,1481041740000,Closed
