Symbol,Open,High,Low,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
TSLA,0,0,0,199.47,199.5,100,199.42,200,165127,2023-05-31T09:21:56Z
TSLA,0,0,0,199.47,199.5,100,199.41,300,165127,2023-05-31T09:21:56Z
TSLA,0,0,0,199.47,199.5,100,199.41,300,165137,2023-05-31T09:21:56Z
TSLA,0,0,0,199.47,199.5,100,199.41,100,165205,2023-05-31T09:21:56Z
TSLA,0,0,0,199.47,199.5,100,199.41,100,165205,2023-05-31T09:21:56Z
TSLA,0,0,0,199.47,199.46,100,199.41,200,165206,2023-05-31T09:21:56Z
TSLA,0,0,0,199.47,199.46,100,199.4,1100,165316,2023-05-31T09:21:56Z
TSLA,0,0,0,199.47,199.46,100,199.4,1100,165316,2023-05-31T09:21:56Z
TSLA,0,0,0,199.45,199.5,200,199.45,700,165828,2023-05-31T09:25:41Z
TSLA,0,0,0,199.45,199.5,100,199.45,700,165914,2023-05-31T09:25:41Z
TSLA,0,0,0,199.45,199.5,100,199.45,700,165914,2023-05-31T09:25:41Z
TSLA,0,0,0,199.45,199.5,200,199.45,700,165916,2023-05-31T09:25:41Z
TSLA,0,0,0,199.45,199.5,200,199.45,700,165916,2023-05-31T09:25:41Z
TSLA,0,0,0,199.45,199.5,200,199.45,700,165916,2023-05-31T09:25:41Z
TSLA,0,0,0,199.45,199.5,200,199.45,700,165917,2023-05-31T09:25:41Z
TSLA,0,0,0,199.45,199.5,200,199.45,700,165999,2023-05-31T09:25:41Z
TSLA,0,0,0,199.49,199.5,100,199.45,600,166500,2023-05-31T09:26:59Z
TSLA,0,0,0,199.5,199.52,200,199.45,600,167114,2023-05-31T09:27:15Z
TSLA,0,0,0,199.51,199.53,500,199.5,300,167214,2023-05-31T09:27:18Z
TSLA,0,0,0,199.5,199.53,100,199.5,200,167959,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.53,100,199.5,100,168018,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.55,400,199.5,100,168091,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.5,100,168123,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.5,100,168123,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.5,100,168203,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.5,100,168243,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.53,400,199.5,100,168251,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.45,600,168451,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.45,600,168583,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,200,199.45,600,168596,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.45,600,168598,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.45,600,168691,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.57,100,199.46,300,168906,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.57,100,199.46,300,168918,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.57,100,199.46,300,168918,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.46,300,168918,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.46,300,169135,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.56,100,199.46,300,169206,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.55,100,199.46,300,169206,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.54,100,199.46,300,169208,2023-05-31T09:27:34Z
TSLA,0,0,0,199.5,199.54,100,199.46,200,169433,2023-05-31T09:27:34Z
TSLA,0,0,0,199.45,199.51,100,199.43,100,170444,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.53,100,199.43,100,170444,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.54,100,199.43,100,170444,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.54,100,199.43,100,170444,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.53,100,199.43,100,170454,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.54,100,199.43,100,170457,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.57,100,199.5,200,170507,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.57,100,199.5,100,170599,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.57,100,199.5,100,170599,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.57,100,199.43,200,170785,2023-05-31T09:31:08Z
TSLA,0,0,0,199.45,199.57,100,199.45,300,171359,2023-05-31T09:31:08Z
TSLA,0,0,0,199.55,199.55,300,199.45,100,171542,2023-05-31T09:33:01Z
TSLA,0,0,0,199.55,199.58,100,199.45,100,171952,2023-05-31T09:33:08Z
TSLA,0,0,0,199.55,199.59,100,199.51,200,172104,2023-05-31T09:33:08Z
TSLA,0,0,0,199.6,199.68,200,199.59,100,173258,2023-05-31T09:33:30Z
TSLA,0,0,0,199.6,199.69,300,199.56,100,173365,2023-05-31T09:33:30Z
TSLA,0,0,0,199.6,199.69,300,199.58,100,173375,2023-05-31T09:33:30Z
TSLA,0,0,0,199.6,199.69,300,199.53,100,173580,2023-05-31T09:33:30Z
TSLA,0,0,0,199.64,199.69,300,199.56,100,173861,2023-05-31T09:34:13Z
TSLA,0,0,0,199.64,199.69,300,199.56,100,173861,2023-05-31T09:34:13Z
TSLA,0,0,0,199.64,199.69,300,199.56,100,173883,2023-05-31T09:34:13Z
TSLA,0,0,0,199.64,199.69,200,199.56,100,174294,2023-05-31T09:34:44Z
TSLA,0,0,0,199.67,199.7,200,199.52,100,174944,2023-05-31T09:34:47Z
TSLA,0,0,0,199.67,199.7,100,199.6,200,174955,2023-05-31T09:34:47Z
TSLA,0,0,0,199.7,199.73,100,199.7,200,175858,2023-05-31T09:35:10Z
TSLA,0,0,0,199.7,199.66,100,199.6,200,176298,2023-05-31T09:35:10Z
TSLA,0,0,0,199.7,199.66,100,199.6,200,176304,2023-05-31T09:35:10Z
TSLA,0,0,0,199.66,199.68,100,199.6,200,176517,2023-05-31T09:35:42Z
TSLA,0,0,0,199.66,199.68,100,199.6,200,176595,2023-05-31T09:35:42Z
TSLA,0,0,0,199.66,199.68,100,199.6,200,176607,2023-05-31T09:35:42Z
TSLA,0,0,0,199.66,199.7,200,199.6,200,176691,2023-05-31T09:35:42Z
TSLA,0,0,0,199.66,199.7,200,199.66,200,176697,2023-05-31T09:35:42Z
TSLA,0,0,0,199.66,199.7,200,199.66,200,176697,2023-05-31T09:35:42Z
TSLA,0,0,0,199.66,199.7,200,199.66,200,176703,2023-05-31T09:35:42Z
TSLA,0,0,0,199.69,199.7,400,199.6,200,176954,2023-05-31T09:36:47Z
TSLA,0,0,0,199.69,199.7,200,199.6,200,177495,2023-05-31T09:37:04Z
TSLA,0,0,0,199.6,199.72,200,199.53,100,178500,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.7,100,199.53,100,178500,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.7,200,199.53,100,178560,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.73,100,199.55,100,178572,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.7,100,199.55,200,178742,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.68,100,199.55,300,178742,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.71,100,199.59,100,178760,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.7,100,199.58,100,178795,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.72,100,199.6,100,178846,2023-05-31T09:37:13Z
TSLA,0,0,0,199.6,199.69,100,199.61,100,178846,2023-05-31T09:37:13Z
