,_id_x,CurTime,GetTime_x,Symbol,TradeTime,Last,Ask,AskSize,Bid,BidSize,Volume,VWAP,Open,High,Low,PreviousClose,PreviousVolume,NetChange,NetChangePct,_id_y,GetTime_y,EarliestTime,LatestTime,Side,Price,TotalSize,BiggestSize,SmallestSize,NumParticipants,TotalOrderCount,Dif
35330,6480c014323df6bf8bfac239,2023-06-07T17:36:20Z,2023-06-07T17:36:19Z,TSLA,2023-06-07T17:36:19Z,224.56,224.59,200.0,224.56,200.0,133600923.0,227.152273756,228.0,230.82961,223.2,221.31,146911576.0,3.25,0.0147,6480c014323df6bf8bfac232,2023-06-07T17:36:19Z,2023-06-07T17:36:19Z,2023-06-07T17:36:19Z,Bid,224.57,296.0,100.0,96.0,3.0,5.0,0.009999999999990905
35486,6480c050323df6bf8bfac70d,2023-06-07T17:37:20Z,2023-06-07T17:37:19Z,TSLA,2023-06-07T17:37:19Z,224.58,224.6,300.0,224.57,100.0,133831810.0,227.14752924132,228.0,230.82961,223.2,221.31,146911576.0,3.27,0.0148,6480c050323df6bf8bfac77f,2023-06-07T17:37:20Z,2023-06-07T17:37:20Z,2023-06-07T17:37:20Z,Ask,224.56,-71.0,71.0,71.0,1.0,3.0,0.020000000000010232
35815,6480c0dc323df6bf8bfad244,2023-06-07T17:39:40Z,2023-06-07T17:39:39Z,TSLA,2023-06-07T17:39:39Z,224.01,224.04,100.0,224.01,100.0,134414868.0,227.133682618974,228.0,230.82961,223.2,221.31,146911576.0,2.7,0.0122,6480c0dc323df6bf8bfad23c,2023-06-07T17:39:39Z,2023-06-07T17:39:39Z,2023-06-07T17:39:39Z,Bid,224.03,157.0,100.0,57.0,2.0,3.0,0.020000000000010232
35874,6480c0f0323df6bf8bfad3d4,2023-06-07T17:40:00Z,2023-06-07T17:39:59Z,TSLA,2023-06-07T17:39:59Z,224.145,224.16,100.0,224.13,100.0,134498467.0,227.13161914748,228.0,230.82961,223.2,221.31,146911576.0,2.835,0.0128,6480c0f0323df6bf8bfad439,2023-06-07T17:40:00Z,2023-06-07T17:40:00Z,2023-06-07T17:40:00Z,Ask,224.13,-154.0,154.0,154.0,1.0,2.0,0.01500000000001478
35911,6480c104323df6bf8bfad56d,2023-06-07T17:40:20Z,2023-06-07T17:40:19Z,TSLA,2023-06-07T17:40:19Z,224.2,224.2,1100.0,224.18,300.0,134572457.0,227.12983486863,228.0,230.82961,223.2,221.31,146911576.0,2.89,0.0131,6480c104323df6bf8bfad563,2023-06-07T17:40:19Z,2023-06-07T17:40:19Z,2023-06-07T17:40:19Z,Bid,224.24,81.0,81.0,81.0,1.0,3.0,0.040000000000020464
35912,6480c104323df6bf8bfad56d,2023-06-07T17:40:20Z,2023-06-07T17:40:19Z,TSLA,2023-06-07T17:40:19Z,224.2,224.2,1100.0,224.18,300.0,134572457.0,227.12983486863,228.0,230.82961,223.2,221.31,146911576.0,2.89,0.0131,6480c104323df6bf8bfad56e,2023-06-07T17:40:19Z,2023-06-07T17:40:19Z,2023-06-07T17:40:19Z,Bid,224.23,300.0,300.0,300.0,1.0,1.0,0.030000000000001137
35936,6480c10e323df6bf8bfad63c,2023-06-07T17:40:30Z,2023-06-07T17:40:29Z,TSLA,2023-06-07T17:40:29Z,224.4,224.43,400.0,224.4,200.0,134654463.0,227.127953735546,228.0,230.82961,223.2,221.31,146911576.0,3.09,0.014,6480c10e323df6bf8bfad635,2023-06-07T17:40:29Z,2023-06-07T17:40:29Z,2023-06-07T17:40:29Z,Bid,224.41,244.0,144.0,100.0,2.0,5.0,0.009999999999990905
36047,6480c136323df6bf8bfad991,2023-06-07T17:41:10Z,2023-06-07T17:41:09Z,TSLA,2023-06-07T17:41:09Z,224.39,224.4,1200.0,224.36,400.0,134780472.0,227.1250657619,228.0,230.82961,223.2,221.31,146911576.0,3.08,0.0139,6480c136323df6bf8bfada0e,2023-06-07T17:41:10Z,2023-06-07T17:41:09Z,2023-06-07T17:41:09Z,Ask,224.37,-163.0,100.0,63.0,2.0,3.0,0.01999999999998181
36096,6480c14a323df6bf8bfadb26,2023-06-07T17:41:30Z,2023-06-07T17:41:29Z,TSLA,2023-06-07T17:41:29Z,224.4782,224.48,100.0,224.45,100.0,134875469.0,227.122991569116,228.0,230.82961,223.2,221.31,146911576.0,3.1682,0.0143,6480c14a323df6bf8bfadba6,2023-06-07T17:41:30Z,2023-06-07T17:41:30Z,2023-06-07T17:41:30Z,Ask,224.47,-132.0,100.0,32.0,2.0,3.0,0.008199999999987995
36108,6480c154323df6bf8bfadbf3,2023-06-07T17:41:40Z,2023-06-07T17:41:39Z,TSLA,2023-06-07T17:41:39Z,224.43,224.46,100.0,224.44,100.0,134898465.0,227.122496456364,228.0,230.82961,223.2,221.31,146911576.0,3.12,0.0141,6480c154323df6bf8bfadbed,2023-06-07T17:41:39Z,2023-06-07T17:41:39Z,2023-06-07T17:41:39Z,Bid,224.44,150.0,100.0,50.0,2.0,2.0,0.009999999999990905
