Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
GOOGL,,122.7,500,122.69,300,21002207,2023-05-31T19:57:27Z
GOOGL,122.68,122.68,700,122.67,600,21009305,2023-05-31T19:57:28Z
GOOGL,122.64,122.65,400,122.64,500,21025510,2023-05-31T19:57:29Z
GOOGL,122.67,122.67,500,122.66,800,21032478,2023-05-31T19:57:30Z
GOOGL,122.675,122.68,100,122.67,700,21036311,2023-05-31T19:57:31Z
GOOGL,122.67,122.67,,122.66,400,21041471,2023-05-31T19:57:32Z
GOOGL,122.61,122.61,1000,122.6,2000,21075517,2023-05-31T19:57:33Z
GOOGL,122.63,122.64,100,122.62,1200,21082411,2023-05-31T19:57:34Z
GOOGL,122.67,122.68,200,122.66,700,21085335,2023-05-31T19:57:35Z
GOOGL,122.685,122.69,400,122.68,1100,21090336,2023-05-31T19:57:36Z
GOOGL,122.67,122.68,500,122.67,400,21095245,2023-05-31T19:57:37Z
GOOGL,122.65,122.66,300,122.65,300,21097698,2023-05-31T19:57:38Z
GOOGL,122.67,122.67,400,122.66,400,21099088,2023-05-31T19:57:39Z
GOOGL,122.665,,1100,,800,21103067,2023-05-31T19:57:40Z
GOOGL,122.66,,1600,,1200,21107719,2023-05-31T19:57:41Z
GOOGL,122.7,122.7,200,122.69,200,21125693,2023-05-31T19:57:42Z
GOOGL,,122.71,800,,,21129292,2023-05-31T19:57:43Z
GOOGL,122.69,122.7,300,,,21132722,2023-05-31T19:57:44Z
GOOGL,122.74,122.74,200,122.73,,21141527,2023-05-31T19:57:45Z
GOOGL,122.71,122.72,500,122.71,400,21145284,2023-05-31T19:57:46Z
GOOGL,,,1400,122.7,500,21151526,2023-05-31T19:57:47Z
GOOGL,122.7,122.71,500,,400,21157927,2023-05-31T19:57:48Z
GOOGL,122.695,122.7,,122.69,,21160743,2023-05-31T19:57:49Z
GOOGL,122.7,122.71,300,122.7,800,21167013,2023-05-31T19:57:50Z
GOOGL,,,3400,122.69,600,21182996,2023-05-31T19:57:51Z
GOOGL,122.71,122.72,1100,122.7,500,21190110,2023-05-31T19:57:52Z
GOOGL,122.73,122.74,500,122.73,200,21201637,2023-05-31T19:57:53Z
GOOGL,122.7,122.72,700,122.7,1000,21207108,2023-05-31T19:57:54Z
GOOGL,,122.71,600,,100,21214619,2023-05-31T19:57:55Z
GOOGL,122.74,122.76,300,122.75,300,21229334,2023-05-31T19:57:56Z
GOOGL,122.75,,,,600,21236491,2023-05-31T19:57:57Z
GOOGL,122.77,122.77,,122.76,400,21245977,2023-05-31T19:57:58Z
GOOGL,,122.78,900,122.77,300,21248222,2023-05-31T19:57:59Z
GOOGL,122.79,122.79,100,122.78,200,21263608,2023-05-31T19:58:00Z
GOOGL,122.78,,400,122.77,400,21277866,2023-05-31T19:58:01Z
GOOGL,122.79,,900,122.78,300,21286788,2023-05-31T19:58:02Z
GOOGL,122.78,122.78,200,122.77,100,21293292,2023-05-31T19:58:03Z
GOOGL,122.76,122.76,,122.75,400,21299353,2023-05-31T19:58:04Z
GOOGL,122.7625,122.77,,122.76,300,21307464,2023-05-31T19:58:05Z
GOOGL,122.78,122.78,400,122.77,200,21316241,2023-05-31T19:58:06Z
GOOGL,122.76,122.77,200,122.76,100,21325154,2023-05-31T19:58:07Z
GOOGL,122.78,122.79,300,122.77,,21333904,2023-05-31T19:58:08Z
GOOGL,122.7599,122.76,500,122.75,1200,21339310,2023-05-31T19:58:09Z
GOOGL,122.755,,1100,,1400,21342966,2023-05-31T19:58:10Z
GOOGL,122.765,122.77,400,122.76,400,21349669,2023-05-31T19:58:11Z
GOOGL,122.77,122.78,600,122.77,100,21357645,2023-05-31T19:58:12Z
GOOGL,,,1100,,,21363881,2023-05-31T19:58:13Z
GOOGL,,122.77,300,122.76,700,21370435,2023-05-31T19:58:14Z
GOOGL,,,1600,,800,21372320,2023-05-31T19:58:15Z
GOOGL,,122.78,400,122.77,300,21378023,2023-05-31T19:58:16Z
GOOGL,122.775,,700,,500,21386205,2023-05-31T19:58:17Z
GOOGL,122.8,122.8,200,122.79,200,21395438,2023-05-31T19:58:18Z
GOOGL,122.79,122.79,400,122.78,300,21398447,2023-05-31T19:58:19Z
GOOGL,122.77,122.78,200,122.77,500,21404118,2023-05-31T19:58:20Z
GOOGL,122.78,,900,,,21407697,2023-05-31T19:58:21Z
GOOGL,122.79,122.79,100,122.78,300,21417461,2023-05-31T19:58:22Z
GOOGL,122.8,122.8,,122.79,,21440287,2023-05-31T19:58:23Z
GOOGL,122.81,122.81,200,122.8,200,21451033,2023-05-31T19:58:24Z
GOOGL,122.8,122.8,300,122.79,500,21451715,2023-05-31T19:58:25Z
GOOGL,122.8185,122.82,,122.81,300,21464631,2023-05-31T19:58:26Z
GOOGL,122.8,122.81,,122.8,500,21481012,2023-05-31T19:58:27Z
GOOGL,122.85,122.85,100,122.84,400,21491638,2023-05-31T19:58:28Z
GOOGL,122.82,122.82,200,122.81,200,21501549,2023-05-31T19:58:29Z
GOOGL,,,500,,300,21504423,2023-05-31T19:58:30Z
GOOGL,,,300,,200,21512211,2023-05-31T19:58:31Z
GOOGL,122.83,122.84,,122.82,400,21523582,2023-05-31T19:58:32Z
GOOGL,122.84,122.85,,122.83,,21528463,2023-05-31T19:58:33Z
GOOGL,122.835,122.84,500,,,21529521,2023-05-31T19:58:34Z
GOOGL,122.84,122.85,400,122.84,1000,21543771,2023-05-31T19:58:35Z
GOOGL,122.88,122.88,100,122.87,500,21572874,2023-05-31T19:58:36Z
GOOGL,122.8899,122.89,600,,800,21580933,2023-05-31T19:58:37Z
GOOGL,122.885,,400,,600,21591180,2023-05-31T19:58:38Z
GOOGL,,122.91,300,122.9,100,21607476,2023-05-31T19:58:39Z
GOOGL,122.92,122.93,,122.92,300,21635315,2023-05-31T19:58:40Z
GOOGL,122.945,122.95,200,122.94,,21647944,2023-05-31T19:58:41Z
GOOGL,122.955,122.96,14600,122.95,500,21655827,2023-05-31T19:58:42Z
GOOGL,122.94,122.94,500,122.93,900,21670557,2023-05-31T19:58:43Z
GOOGL,122.93,,,122.92,300,21675074,2023-05-31T19:58:44Z
GOOGL,,122.93,200,,,21682530,2023-05-31T19:58:45Z
GOOGL,122.91,122.92,,122.91,200,21706833,2023-05-31T19:58:46Z
GOOGL,,122.91,300,122.9,1900,21711163,2023-05-31T19:58:47Z
GOOGL,122.905,,600,,,21712135,2023-05-31T19:58:48Z
GOOGL,122.8899,122.89,300,122.88,300,21722273,2023-05-31T19:58:49Z
GOOGL,122.89,122.9,2400,122.89,200,21738471,2023-05-31T19:58:50Z
GOOGL,122.9,,200,,300,21745011,2023-05-31T19:58:51Z
GOOGL,,122.91,3500,,500,21750952,2023-05-31T19:58:52Z
GOOGL,122.895,122.9,200,,200,21762354,2023-05-31T19:58:53Z
GOOGL,122.9,122.91,600,,300,21772991,2023-05-31T19:58:54Z
GOOGL,,,300,122.9,100,21786952,2023-05-31T19:58:55Z
