,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,Sum
13,0.25,0.185,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
12,0.25,0.19,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
11,0.25,0.195,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
10,0.25,0.2,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
9,0.25,0.20500000000000002,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
8,0.25,0.21,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
7,0.25,0.215,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
6,0.25,0.22,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
5,0.25,0.225,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
4,0.25,0.23,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.6100000000000136,-5.759999999999991,-1.6800000000000637,-8.600000000000023
