Symbol,Open,High,Low,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
AAPL,177.325,179.35001,177.05,178.7179,178.72,600,178.71,100,44984321,2023-05-31T19:29:58Z
AAPL,177.325,179.35001,177.05,178.67,178.68,400,178.67,100,45001700,2023-05-31T19:30:08Z
AAPL,177.325,179.35001,177.05,178.65,178.65,700,178.64,400,45019543,2023-05-31T19:30:19Z
AAPL,177.325,179.35001,177.05,178.64,178.65,1100,178.63,2300,45044404,2023-05-31T19:30:28Z
AAPL,177.325,179.35001,177.05,178.6543,178.66,400,178.65,300,45054072,2023-05-31T19:30:39Z
AAPL,177.325,179.35001,177.05,178.64,178.64,300,178.63,800,45069176,2023-05-31T19:30:48Z
AAPL,177.325,179.35001,177.05,178.6493,178.65,800,178.64,500,45076354,2023-05-31T19:30:57Z
AAPL,177.325,179.35001,177.05,178.6502,178.67,300,178.66,300,45088695,2023-05-31T19:31:08Z
AAPL,177.325,179.35001,177.05,178.68,178.68,200,178.67,900,45097296,2023-05-31T19:31:18Z
AAPL,177.325,179.35001,177.05,178.655,178.66,200,178.65,300,45107580,2023-05-31T19:31:28Z
AAPL,177.325,179.35001,177.05,178.725,178.73,400,178.72,200,45121567,2023-05-31T19:31:38Z
AAPL,177.325,179.35001,177.05,178.73,178.73,100,178.72,1300,45134328,2023-05-31T19:31:48Z
AAPL,177.325,179.35001,177.05,178.75,178.76,600,178.74,700,45153745,2023-05-31T19:31:57Z
AAPL,177.325,179.35001,177.05,178.7794,178.78,600,178.77,300,45177547,2023-05-31T19:32:08Z
AAPL,177.325,179.35001,177.05,178.81,178.81,300,178.8,900,45201527,2023-05-31T19:32:19Z
AAPL,177.325,179.35001,177.05,178.77,178.78,200,178.77,600,45233258,2023-05-31T19:32:29Z
AAPL,177.325,179.35001,177.05,178.765,178.77,100,178.76,1000,45241462,2023-05-31T19:32:37Z
AAPL,177.325,179.35001,177.05,178.8,178.8,200,178.79,400,45264048,2023-05-31T19:32:48Z
AAPL,177.325,179.35001,177.05,178.805,178.81,200,178.8,700,45268800,2023-05-31T19:32:59Z
AAPL,177.325,179.35001,177.05,178.85,178.85,400,178.84,200,45296246,2023-05-31T19:33:08Z
AAPL,177.325,179.35001,177.05,178.84,178.84,300,178.83,400,45311025,2023-05-31T19:33:17Z
AAPL,177.325,179.35001,177.05,178.87,178.88,800,178.86,1100,45327182,2023-05-31T19:33:28Z
AAPL,177.325,179.35001,177.05,178.87,178.87,100,178.86,400,45354118,2023-05-31T19:33:38Z
AAPL,177.325,179.35001,177.05,178.8108,178.82,500,178.81,100,45367204,2023-05-31T19:33:49Z
AAPL,177.325,179.35001,177.05,178.8194,178.82,500,178.81,200,45385092,2023-05-31T19:33:59Z
AAPL,177.325,179.35001,177.05,178.834,178.84,400,178.82,700,45399842,2023-05-31T19:34:08Z
AAPL,177.325,179.35001,177.05,178.8206,178.83,100,178.82,400,45418336,2023-05-31T19:34:18Z
AAPL,177.325,179.35001,177.05,178.8,178.81,400,178.8,200,45431825,2023-05-31T19:34:29Z
AAPL,177.325,179.35001,177.05,178.8,178.81,400,178.79,800,45440812,2023-05-31T19:34:38Z
AAPL,177.325,179.35001,177.05,178.8137,178.82,300,178.81,300,45451034,2023-05-31T19:34:49Z
AAPL,177.325,179.35001,177.05,178.825,178.83,100,178.82,1000,45463385,2023-05-31T19:34:59Z
AAPL,177.325,179.35001,177.05,178.8393,178.85,500,178.83,700,45481564,2023-05-31T19:35:07Z
AAPL,177.325,179.35001,177.05,178.835,178.84,100,178.83,900,45493686,2023-05-31T19:35:18Z
AAPL,177.325,179.35001,177.05,178.89,178.89,100,178.88,1100,45510542,2023-05-31T19:35:28Z
AAPL,177.325,179.35001,177.05,178.83,178.84,200,178.83,700,45533028,2023-05-31T19:35:39Z
AAPL,177.325,179.35001,177.05,178.795,178.8,1000,178.79,300,45551198,2023-05-31T19:35:49Z
AAPL,177.325,179.35001,177.05,178.784,178.79,100,178.78,800,45562533,2023-05-31T19:35:58Z
AAPL,177.325,179.35001,177.05,178.79,178.8,800,178.78,900,45574376,2023-05-31T19:36:08Z
AAPL,177.325,179.35001,177.05,178.81,178.82,600,178.8,700,45585453,2023-05-31T19:36:18Z
AAPL,177.325,179.35001,177.05,178.79,178.8,200,178.79,500,45596871,2023-05-31T19:36:29Z
AAPL,177.325,179.35001,177.05,178.815,178.82,200,178.81,500,45630080,2023-05-31T19:36:39Z
AAPL,177.325,179.35001,177.05,178.82,178.83,200,178.82,300,45634588,2023-05-31T19:36:48Z
AAPL,177.325,179.35001,177.05,178.8,178.81,200,178.8,600,45652940,2023-05-31T19:36:58Z
AAPL,177.325,179.35001,177.05,178.78,178.79,400,178.78,200,45663295,2023-05-31T19:37:08Z
AAPL,177.325,179.35001,177.05,178.795,178.8,500,178.79,500,45676321,2023-05-31T19:37:18Z
AAPL,177.325,179.35001,177.05,178.855,178.86,1400,178.85,200,45693902,2023-05-31T19:37:28Z
AAPL,177.325,179.35001,177.05,178.865,178.86,200,178.85,700,45708850,2023-05-31T19:37:38Z
AAPL,177.325,179.35001,177.05,178.895,178.89,200,178.88,800,45727415,2023-05-31T19:37:48Z
AAPL,177.325,179.35001,177.05,178.89,178.9,300,178.89,400,45746918,2023-05-31T19:37:59Z
AAPL,177.325,179.35001,177.05,178.9045,178.9,300,178.89,400,45770841,2023-05-31T19:38:08Z
AAPL,177.325,179.35001,177.05,178.9399,178.94,500,178.93,200,45804464,2023-05-31T19:38:19Z
AAPL,177.325,179.35001,177.05,178.91,178.91,200,178.9,500,45824525,2023-05-31T19:38:28Z
AAPL,177.325,179.35001,177.05,178.9384,178.94,400,178.93,100,45845693,2023-05-31T19:38:38Z
AAPL,177.325,179.35001,177.05,178.875,178.88,200,178.87,500,45858935,2023-05-31T19:38:48Z
AAPL,177.325,179.35001,177.05,178.88,178.89,900,178.87,600,45869573,2023-05-31T19:38:58Z
AAPL,177.325,179.35001,177.05,178.89,178.89,400,178.88,1200,45877322,2023-05-31T19:39:08Z
AAPL,177.325,179.35001,177.05,178.8609,178.87,700,178.86,200,45888353,2023-05-31T19:39:19Z
AAPL,177.325,179.35001,177.05,178.8484,178.85,400,178.84,600,45915366,2023-05-31T19:39:28Z
AAPL,177.325,179.35001,177.05,178.825,178.83,300,178.82,500,45941359,2023-05-31T19:39:40Z
AAPL,177.325,179.35001,177.05,178.825,178.83,300,178.82,500,45959562,2023-05-31T19:39:49Z
AAPL,177.325,179.35001,177.05,178.83,178.84,1200,178.82,1000,45982726,2023-05-31T19:39:58Z
AAPL,177.325,179.35001,177.05,178.82,178.82,800,178.81,300,46001861,2023-05-31T19:40:09Z
AAPL,177.325,179.35001,177.05,178.83,178.84,900,178.83,200,46016512,2023-05-31T19:40:19Z
AAPL,177.325,179.35001,177.05,178.82,178.83,300,178.82,500,46026685,2023-05-31T19:40:28Z
AAPL,177.325,179.35001,177.05,178.8355,178.84,400,178.83,800,46039943,2023-05-31T19:40:39Z
AAPL,177.325,179.35001,177.05,178.8901,178.89,300,178.88,600,46063779,2023-05-31T19:40:48Z
AAPL,177.325,179.35001,177.05,178.91,178.92,700,178.91,200,46083984,2023-05-31T19:40:58Z
AAPL,177.325,179.35001,177.05,178.9255,178.93,600,178.92,900,46098452,2023-05-31T19:41:08Z
AAPL,177.325,179.35001,177.05,178.93,178.94,800,178.92,2200,46123756,2023-05-31T19:41:18Z
AAPL,177.325,179.35001,177.05,178.94,178.94,300,178.93,900,46145350,2023-05-31T19:41:29Z
AAPL,177.325,179.35001,177.05,178.9376,178.95,800,178.93,400,46162188,2023-05-31T19:41:38Z
AAPL,177.325,179.35001,177.05,178.94,178.95,200,178.94,900,46168834,2023-05-31T19:41:48Z
AAPL,177.325,179.35001,177.05,178.97,178.97,200,178.96,1300,46194019,2023-05-31T19:41:57Z
AAPL,177.325,179.35001,177.05,178.94,178.95,500,178.94,600,46225555,2023-05-31T19:42:08Z
AAPL,177.325,179.35001,177.05,178.97,178.98,400,178.97,200,46241645,2023-05-31T19:42:18Z
AAPL,177.325,179.35001,177.05,178.995,179,300,178.99,900,46317197,2023-05-31T19:42:28Z
AAPL,177.325,179.35001,177.05,179,179,200,178.99,800,46347096,2023-05-31T19:42:38Z
AAPL,177.325,179.35001,177.05,178.975,178.98,200,178.97,900,46363077,2023-05-31T19:42:49Z
AAPL,177.325,179.35001,177.05,178.96,178.96,400,178.95,500,46378342,2023-05-31T19:42:58Z
AAPL,177.325,179.35001,177.05,178.93,178.94,400,178.93,400,46410403,2023-05-31T19:43:08Z
AAPL,177.325,179.35001,177.05,178.97,178.97,300,178.96,1300,46427709,2023-05-31T19:43:18Z
AAPL,177.325,179.35001,177.05,179,179,700,178.99,700,46446485,2023-05-31T19:43:28Z
