{'Time': '2023-06-09T13:32:40Z', 'Last': 326.25, 'Ask': 326.29, 'Bid': 326.2, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:32:50Z', 'Last': 326.24, 'Ask': 326.37, 'Bid': 326.3, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:33:00Z', 'Last': 326.19, 'Ask': 326.22, 'Bid': 326.16, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:33:10Z', 'Last': 326.37, 'Ask': 326.38, 'Bid': 326.3, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:33:20Z', 'Last': 326.37, 'Ask': 326.4, 'Bid': 326.36, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:33:30Z', 'Last': 182.095, 'Ask': 182.1, 'Bid': 182.08, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:33:40Z', 'Last': 326.18, 'Ask': 326.19, 'Bid': 326.14, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:33:50Z', 'Last': 325.8608, 'Ask': 325.92, 'Bid': 325.86, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:34:00Z', 'Last': 326.03, 'Ask': 326.15, 'Bid': 326.07, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:34:10Z', 'Last': 326.21, 'Ask': 326.24, 'Bid': 326.17, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:34:20Z', 'Last': 390.9566, 'Ask': 391.07, 'Bid': 390.81, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
{'Time': '2023-06-09T13:34:30Z', 'Last': 326.35, 'Ask': 326.35, 'Bid': 326.29, 'BUY': None, 'SELL': None, 'BUYTOCOVER': None, 'SELLSHORT': None}
