Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
MSFT,331.84,331.85,200,,100,9480274,2023-05-30T14:31:35Z
MSFT,331.835,,100,,,9481366,2023-05-30T14:31:36Z
MSFT,331.8197,331.82,,331.81,,9481836,2023-05-30T14:31:37Z
MSFT,331.81,,,331.8,,9482671,2023-05-30T14:31:38Z
MSFT,331.78,331.81,200,331.77,400,9483491,2023-05-30T14:31:39Z
MSFT,331.75,331.76,100,331.74,100,9484357,2023-05-30T14:31:40Z
MSFT,331.72,331.74,,331.71,200,9485321,
MSFT,331.7244,331.76,200,331.72,,9485511,2023-05-30T14:31:41Z
MSFT,,,,,,9485577,
MSFT,,331.77,100,331.75,100,9485736,
MSFT,331.72,331.75,200,331.71,200,9486426,2023-05-30T14:31:45Z
MSFT,331.7,331.72,,331.69,100,9486721,2023-05-30T14:31:46Z
MSFT,,331.71,100,,,9486804,
MSFT,331.7071,331.7,,331.67,200,9487410,2023-05-30T14:31:48Z
MSFT,331.74,331.75,,331.73,100,9488110,2023-05-30T14:31:49Z
MSFT,331.69,331.7,200,331.67,,9489434,2023-05-30T14:31:51Z
MSFT,,331.71,,331.68,,,
MSFT,,,100,,200,9489453,
MSFT,331.74,331.74,,331.72,,9489754,2023-05-30T14:31:53Z
MSFT,331.72,331.75,,,,9490262,2023-05-30T14:31:54Z
MSFT,331.6999,331.71,200,331.68,100,9491516,2023-05-30T14:31:55Z
MSFT,331.731,331.75,,331.72,200,9492362,2023-05-30T14:31:56Z
MSFT,331.8011,331.83,,331.81,100,9493035,2023-05-30T14:31:57Z
MSFT,331.8098,,300,331.8,200,9496720,2023-05-30T14:31:58Z
MSFT,331.8001,331.82,100,,,9497211,2023-05-30T14:31:59Z
MSFT,331.8144,331.84,200,,,9497567,2023-05-30T14:32:00Z
MSFT,,,100,,300,9497658,
MSFT,331.815,,,331.81,200,9498055,2023-05-30T14:32:02Z
MSFT,331.825,331.85,200,331.82,,9502926,2023-05-30T14:32:03Z
MSFT,331.84,,100,,,9505731,2023-05-30T14:32:04Z
MSFT,331.85,331.84,200,331.8,300,9507577,2023-05-30T14:32:05Z
MSFT,331.815,,,331.81,100,9507773,2023-05-30T14:32:06Z
MSFT,331.85,331.85,100,331.83,200,9509758,2023-05-30T14:32:07Z
MSFT,,,200,331.82,100,9509841,
MSFT,,,100,331.84,,9510617,2023-05-30T14:32:09Z
MSFT,331.82,331.83,200,331.81,,9511661,2023-05-30T14:32:10Z
MSFT,331.81,331.84,,331.8,400,9512420,2023-05-30T14:32:11Z
MSFT,,331.85,100,331.83,100,9512732,
MSFT,331.85,331.84,,331.81,,9513767,2023-05-30T14:32:13Z
MSFT,331.83,,,,200,9513996,2023-05-30T14:32:14Z
MSFT,331.85,331.88,200,331.85,100,9518172,2023-05-30T14:32:15Z
MSFT,,331.87,100,,,9523276,2023-05-30T14:32:16Z
MSFT,331.8461,331.85,,331.84,,9526722,2023-05-30T14:32:17Z
MSFT,331.86,331.84,,331.83,,9527663,2023-05-30T14:32:18Z
MSFT,331.8435,331.85,200,331.82,200,9528182,2023-05-30T14:32:19Z
MSFT,331.82,,400,331.81,,9528976,2023-05-30T14:32:20Z
MSFT,331.88,331.9,100,331.89,100,9530786,2023-05-30T14:32:21Z
MSFT,331.9,331.94,200,331.9,200,9531616,
MSFT,331.9186,331.91,100,331.89,100,9531846,2023-05-30T14:32:22Z
MSFT,331.94,331.93,,331.91,200,9532856,2023-05-30T14:32:24Z
MSFT,331.9271,331.94,200,,400,9533776,2023-05-30T14:32:25Z
MSFT,331.96,331.97,100,331.95,200,9535485,2023-05-30T14:32:26Z
MSFT,331.955,332.01,200,331.99,800,9539278,2023-05-30T14:32:27Z
MSFT,332.05,332.07,,332.04,200,9540113,2023-05-30T14:32:28Z
MSFT,332.06,,100,332.05,800,9541000,2023-05-30T14:32:29Z
MSFT,332.055,332.08,4200,,100,9543261,2023-05-30T14:32:30Z
MSFT,332.17,332.19,200,332.16,200,9551006,2023-05-30T14:32:31Z
MSFT,332.13,332.14,,332.12,100,9552855,2023-05-30T14:32:34Z
MSFT,,,,,,9552868,
MSFT,332.125,,100,332.13,,9554394,2023-05-30T14:32:35Z
MSFT,,,,,,9554507,
MSFT,332.15,332.16,,332.14,200,9555256,2023-05-30T14:32:37Z
MSFT,332.18,332.19,,332.15,100,9556704,2023-05-30T14:32:38Z
MSFT,,332.2,200,332.18,,9556939,
MSFT,332.185,,,,,9557747,2023-05-30T14:32:40Z
MSFT,332.11,332.12,100,332.1,1100,9561297,2023-05-30T14:32:41Z
