"_id",buy_and_hold_gain,buy_and_hold_perf,duration,end_date,long,macd_min_len,macd_threshold,model_gain,model_perf,model_run_date,model_score,predict_action,predict_date,predict_macd_accum,predict_macd_len,predict_vol,run_id,short,signal,start_date,symbol
6393f5c2be0915624e51ced5,1411.7823842521282,1.1908867684910862,41.515068493150686,2022-11-09,7,5,0.2,659.8604377783618,1.1692676797005364,2022-12-09-21-55-22,0.9818462263898168,0.9247103929519653,2022-11-21,12.605845286829885,8,1.0,12203,3,19,1981-05-15,AAPL
6393f669be0915624e51cf2b,1411.7822741463124,1.1908867662538738,41.515068493150686,2022-11-09,7,5,0.2,7273.209478347485,1.23885325345375,2022-12-09-21-58-13,1.040277958038582,1.0807145833969116,2022-11-21,12.605845288367819,8,0.5692117214202881,12204,3,19,1981-05-15,AAPL
6393f718be0915624e51cf86,1411.7822741463124,1.1908867662538738,41.515068493150686,2022-11-09,7,5,0.2,2148.6109298840565,1.2029949800374433,2022-12-09-22-01-07,1.0101673930105528,0.28907087445259094,2022-11-21,12.60584528837274,8,0.498466432094574,12205,3,19,1981-05-15,AAPL
6393f7cabe0915624e51cfe2,1411.7819438289685,1.1908867595422374,41.515068493150686,2022-11-09,7,5,0.2,8050.485441513567,1.241886864640828,2022-12-09-22-04-10,1.042825318771866,0.0,2022-11-21,12.605845286829435,8,0.0,12206,3,19,1981-05-15,AAPL
6393f880be0915624e51d040,1411.7819438289685,1.1908867595422374,41.515068493150686,2022-11-09,7,5,0.2,1345.6739167084843,1.1895118544020302,2022-12-09-22-07-06,0.9988454778515333,0.0,2022-11-21,12.605845286825051,8,0.4086442291736603,12207,3,19,1981-05-15,AAPL
6393f8e4be0915624e51d075,1411.7819438289685,1.1908867595422374,41.515068493150686,2022-11-09,7,5,0.2,3603.9582840563817,1.2180761175925343,2022-12-09-22-09-39,1.022831186787859,0.0,2022-11-21,12.60584528682944,8,0.0,12208,3,19,1981-05-15,AAPL
6393f9a3be0915624e51d0d8,1411.7818337232213,1.1908867573050257,41.515068493150686,2022-11-09,7,5,0.2,1634.41058484265,1.1950946027929377,2022-12-09-22-11-37,1.003533371634289,1.1274597644805908,2022-11-21,12.605845286829435,8,0.0,12209,3,19,1981-05-15,AAPL
6393fa52be0915624e51d133,1915.1682259584734,1.1984633678966696,41.74520547945205,2022-11-30,7,0,0.5,2171.4000117066807,1.2020736890349462,2022-12-09-22-14-54,1.003012458482242,0.0,2022-12-02,0.19172631677936564,2,0.0,13100,3,19,1981-03-13,AAPL
6393fae9be0915624e51d182,1915.1680413489098,1.198463365129311,41.74520547945205,2022-11-30,7,0,0.5,22128.99803019523,1.2708166401747647,2022-12-09-22-17-42,1.0603717035919966,0.4271215796470642,2022-12-02,0.1917263168971147,2,0.0,13101,3,19,1981-03-13,AAPL
6393fb9abe0915624e51d1dc,1915.167856739382,1.1984633623619527,41.74520547945205,2022-11-30,7,0,0.5,42708.10249804293,1.2909908496573816,2022-12-09-22-20-26,1.07720510296875,0.67115318775177,2022-12-02,0.1917263168971147,2,0.9784648418426514,13102,3,19,1981-03-13,AAPL
6393fc39be0915624e51d22f,1915.168595177707,1.1984633734313879,41.74520547945205,2022-11-30,7,0,0.5,4310.700992167592,1.221982644990911,2022-12-09-22-23-06,1.019624522601958,0.0,2022-12-02,0.1917263167797012,2,0.6657043695449829,13103,3,19,1981-03-13,AAPL
6393fce7be0915624e51d28a,1915.167487520433,1.1984633568272367,41.74520547945205,2022-11-30,7,0,0.5,11607.476662820056,1.2513251446736313,2022-12-09-22-25-53,1.0441079717166646,0.0,2022-12-02,0.1917263168974899,2,0.0,13104,3,19,1981-03-13,AAPL
6393fd9dbe0915624e51d2e8,1915.166749082962,1.198463345757808,41.74520547945205,2022-11-30,7,0,0.5,12430.665554326031,1.2533806493863935,2022-12-09-22-29-12,1.0458230982390708,0.7742554545402527,2022-12-02,0.1917263167793658,2,0.5391554236412048,13105,3,19,1981-03-13,AAPL
