_id,buy_and_hold_gain,long,macd_gain,model_gain,short,signal,symbol,rl-bh,rl-macd,,
6453cd0a38564acf730f3a5a,1.044099387,26,0.945770748,1.043199799,12,9,EXPO,0.999138407,1.103015504,2.042338206,1.042300985
64541a0438564acf731d46ad,1.016472479,13,0.987195188,1.028760086,6,9,LKQ,1.012088479,1.042104032,2.040848565,1.041196231
644f12d2e4c2dae93f5779a4,1.018313221,26,0.967192708,1.029071386,12,9,ISRG,1.010564692,1.06397761,2.039636078,1.039943208
644f5f86e4c2dae93f6e0262,1.009602207,26,1.030156685,1.024580928,12,9,SQ,1.01483626,0.994587467,2.039417188,1.039781877
6450112ce4c2dae93fac12b6,1.012298923,26,0.969820579,1.025154216,12,9,DELL,1.012699108,1.05705554,2.037853324,1.03817276
6450b054e4c2dae93fdede09,1.035560041,26,0.960241426,1.036545587,12,9,ORLY,1.000951703,1.079463516,2.03749729,1.03753207
644fe9d3e4c2dae93f9cd26b,0.951201946,13,0.957946974,0.99270023,6,9,COST,1.043627207,1.036278894,2.036327437,1.036008969
6451c11c563f621c889af0b9,1.031796513,26,1.028039121,1.03300987,12,9,CTSH,1.001175965,1.004835174,2.034185834,1.034224653
6455fedf38564acf736bb155,1.049619553,26,0.942309829,1.041759763,12,9,SAIA,0.992511772,1.105538466,2.034271536,1.033958829
644ff6a1e4c2dae93fa1c81f,1.046890923,13,0.989759015,1.040369975,6,9,GS,0.993771129,1.051134628,2.034141103,1.033889644
64500376e4c2dae93fa6e2da,0.988878129,26,0.995237642,1.010981545,12,9,GE,1.022352013,1.01581924,2.033333558,1.033579018
644e1584e4c2dae93f1321c0,1.029408661,26,1.011943947,1.030875356,12,9,MSFT,1.001424794,1.018707963,2.032300151,1.032344142
645301b238564acf73ef5da6,1.023319638,7,0.967538698,1.026760078,3,19,TPL,1.003362038,1.06120828,2.030122115,1.030212084
64563bb538564acf7374f60a,1.007484153,13,0.930440562,1.017286458,6,9,CYBR,1.009729488,1.093338467,2.027015945,1.027184134
64565d6e38564acf737a5afc,1.047540662,26,1.007976298,1.036592529,12,9,ESI,0.989548727,1.028389786,2.026141257,1.025758818
64519732563f621c8892eda3,0.915416058,26,0.985531223,0.967394246,12,9,DDOG,1.056780945,0.981596751,2.024175191,1.022323805
6456274738564acf7371bdc3,0.962621926,13,0.979675702,0.990042173,6,9,BJ,1.02848496,1.010581533,2.018527133,1.018243485
6453442238564acf73fa9b52,1.003087539,26,0.952416545,1.010556075,12,9,SMAR,1.007445548,1.061044226,2.018001623,1.018080219
64568f3638564acf73829951,1.004109975,26,0.971330231,1.01012464,12,9,KEYS,1.005990046,1.039939465,2.016114687,1.016175334
6455eb3038564acf7368f3bf,1.054624878,26,1.05694851,1.035179861,12,9,ASAN,0.981562149,0.979404249,2.016742011,1.01609337
64520311563f621c88a740d9,0.965459665,26,0.960782727,0.990385205,12,9,JD,1.025817278,1.030810794,2.016202483,1.015954256
64521989563f621c88aaa110,1.012993228,26,0.946924734,1.014350138,12,9,IQV,1.001339505,1.071204607,2.015689643,1.015708865
6450c8cbe4c2dae93fe66ca2,0.978561261,13,0.94385874,0.996528563,6,9,ALGN,1.018360938,1.055802655,2.014889501,1.014825762
6455811d38564acf73581855,0.996027781,26,0.988094832,1.004730762,12,9,DPZ,1.008737688,1.016836369,2.01346845,1.013509786
644f72e7e4c2dae93f73bb8c,0.962790829,26,0.944553942,0.986636198,12,9,BABA,1.024766926,1.044552517,2.011403123,1.011072143
6452a65b563f621c88c119fd,1.027340751,13,0.958840434,1.017346351,6,9,AXON,0.990271582,1.061017364,2.007617932,1.00744918
64564fe138564acf7377fb3b,1.025144928,26,0.971177025,1.015757081,12,9,ADBE,0.99084242,1.04590312,2.006599501,1.006455204
6453e68b38564acf7314164d,1.014078587,13,0.970400382,1.009945306,6,9,ANSS,0.995924102,1.040751142,2.005869408,1.005828872
64554ea338564acf734fb166,0.993967655,26,1.002098236,0.998527809,12,9,ULTA,1.004587829,0.996437048,2.003115638,1.003108883
6455ac6238564acf735f20ae,0.994175508,7,0.936049623,0.997809968,3,19,UTHR,1.003655753,1.065979777,2.001465721,1.001457715
6451b359563f621c88986e8a,0.932278343,26,1.017185094,0.966080271,12,9,CZR,1.036257334,0.949758581,2.002337605,1.001107766
6451a59d563f621c8895d5ed,0.986078325,26,0.999848329,0.990052223,12,9,PANW,1.004030003,0.990202408,1.994082226,0.994042136
6453597f38564acf73fdea8f,0.960320921,26,0.905349331,0.97500183,12,9,WMG,1.015287503,1.076934391,1.990289334,0.989907174
644f3949e4c2dae93f634d50,0.985834864,26,0.995638538,0.98717634,12,9,ATVI,1.001360751,0.991500732,1.98853709,0.98851964
644f2709e4c2dae93f5daf39,0.994470026,13,0.978272336,0.98957989,6,9,CRM,0.995082671,1.011558697,1.984662561,0.9847138
644efe3ee4c2dae93f4f94f6,0.920473113,26,0.96780427,0.95193562,12,9,AYX,1.034180801,0.983603452,1.986116421,0.984473542
64529981563f621c88bf221a,0.884274875,13,0.894855657,0.931951998,6,9,MSCI,1.053916632,1.041455112,1.985868631,0.982199712
644f9900e4c2dae93f7eda31,0.960621718,13,0.907014062,0.970774324,6,9,TCEHY,1.010568786,1.070296884,1.98134311,0.98103423
6452b389563f621c88c35d6a,0.977681478,13,0.938247404,0.975063874,6,9,FND,0.997322641,1.039239618,1.972386514,0.972453277
64513c8ee4c2dae93f080556,0.9338385,26,0.938861053,0.952277024,12,9,FIVE,1.019744875,1.014289623,1.972021899,0.971079615
644e4bbae4c2dae93f1eeac6,1.005235828,26,0.951175393,0.980270453,12,9,SHOP,0.975164659,1.030588533,1.955435113,0.955925103
645247b1563f621c88b1a226,0.872447058,7,0.974662848,0.909789576,3,19,UPWK,1.042802045,0.933440295,1.952591621,0.94873043
6453301b38564acf73f6ddaf,0.98488538,26,0.957314497,0.963508396,12,9,CDAY,0.978294952,1.006470077,1.941803347,0.942595399
64514ac6e4c2dae93f0cb0c0,0.862816816,26,0.891025671,0.899345018,12,9,NEO,1.042335987,1.00933682,1.941681005,0.937419677
644e909be4c2dae93f2e0e4d,0.916160401,26,0.94221284,0.925618137,12,9,OKTA,1.010323232,0.982387523,1.93594137,0.935173509
644e6295e4c2dae93f23a24b,0.934182579,26,0.919851933,0.928772718,12,9,TWLO,0.99420899,1.009698067,1.922981708,0.923394186
