Date,Open,High,Low,Close,Volume
2023-05-12 12:02:24.900000-04:00,,,,169.64,100
2023-05-12 12:02:34.745000-04:00,,,,169.56,1
2023-05-12 12:02:44.497000-04:00,,,,169.51,200
2023-05-12 12:02:55.593000-04:00,,,,169.5593,200
2023-05-12 12:03:05.703000-04:00,,,,169.39,86
2023-05-12 12:03:15.566000-04:00,,,,169.32,10
2023-05-12 12:03:25.787000-04:00,,,,169.1457,70
2023-05-12 12:03:36.930000-04:00,,,,169.2006,9
2023-05-12 12:03:47.452000-04:00,,,,169.195,1
2023-05-12 12:03:57.814000-04:00,,,,169.21,1
2023-05-12 12:04:08.537000-04:00,,,,169.22,100
2023-05-12 12:04:19.332000-04:00,,,,169.2,500
2023-05-12 12:04:29.126000-04:00,,,,169.17,80
2023-05-12 12:04:38.843000-04:00,,,,169.2,10
2023-05-12 12:04:48.513000-04:00,,,,169.18,1
2023-05-12 12:04:58.780000-04:00,,,,169.05,5
2023-05-12 12:05:08.554000-04:00,,,,168.955,2
2023-05-12 12:05:18.782000-04:00,,,,168.93,1
2023-05-12 12:05:29.704000-04:00,,,,168.9606,3
2023-05-12 12:05:39.515000-04:00,,,,168.9316,300
2023-05-12 12:05:50.655000-04:00,,,,168.86,900
2023-05-12 12:06:00.902000-04:00,,,,169.08,30
2023-05-12 12:06:11.411000-04:00,,,,169.1,1
2023-05-12 12:06:21.389000-04:00,,,,169.11,56
2023-05-12 12:06:31.656000-04:00,,,,169.12,100
2023-05-12 12:06:41.640000-04:00,,,,169.16,19
2023-05-12 12:06:51.583000-04:00,,,,169.1017,50
2023-05-12 12:07:02.186000-04:00,,,,169.13,73
2023-05-12 12:07:12.301000-04:00,,,,169.025,200
2023-05-12 12:07:22.715000-04:00,,,,169.2991,261
2023-05-12 12:07:32.294000-04:00,,,,169.3,100
2023-05-12 12:07:42.277000-04:00,,,,169.298,1
2023-05-12 12:07:52.708000-04:00,,,,169.2201,85
2023-05-12 12:08:03.644000-04:00,,,,169.16,22
2023-05-12 12:08:14.534000-04:00,,,,169.175,1
2023-05-12 12:08:24.890000-04:00,,,,169.29,100
2023-05-12 12:08:35.874000-04:00,,,,169.2511,437
2023-05-12 12:08:45.381000-04:00,,,,169.24,22
2023-05-12 12:08:55.178000-04:00,,,,169.23,58
2023-05-12 12:09:05.108000-04:00,,,,169.2108,140
2023-05-12 12:09:14.813000-04:00,,,,169.25,500
2023-05-12 12:09:24.737000-04:00,,,,169.23,100
2023-05-12 12:09:35.996000-04:00,,,,169.19,12
2023-05-12 12:09:45.582000-04:00,,,,169.3318,92
2023-05-12 12:09:55.856000-04:00,,,,169.255,50
2023-05-12 12:10:05.893000-04:00,,,,169.2353,10
2023-05-12 12:10:16.067000-04:00,,,,169.31,100
2023-05-12 12:10:25.838000-04:00,,,,169.3718,100
2023-05-12 12:10:36.797000-04:00,,,,169.44,59
2023-05-12 12:10:46.878000-04:00,,,,169.41,8
2023-05-12 12:10:57.563000-04:00,,,,169.45,1
2023-05-12 12:11:08.274000-04:00,,,,169.3934,1
2023-05-12 12:11:18.516000-04:00,,,,169.5085,12
2023-05-12 12:11:28.058000-04:00,,,,169.49,100
2023-05-12 12:11:38.188000-04:00,,,,169.52,1
2023-05-12 12:11:49.729000-04:00,,,,169.5,4
2023-05-12 12:12:00.641000-04:00,,,,169.55,100
2023-05-12 12:12:11.135000-04:00,,,,169.39,100
2023-05-12 12:12:21.780000-04:00,,,,169.2501,500
2023-05-12 12:12:32.190000-04:00,,,,169.7207,10
2023-05-12 12:12:41.704000-04:00,,,,169.65,43
2023-05-12 12:12:51.308000-04:00,,,,169.79,31
2023-05-12 12:13:01.306000-04:00,,,,169.88,243
2023-05-12 12:13:11.469000-04:00,,,,169.75,50
2023-05-12 12:13:21.290000-04:00,,,,169.685,1
2023-05-12 12:13:31.832000-04:00,,,,169.43,100
2023-05-12 12:13:41.771000-04:00,,,,169.5,100
2023-05-12 12:13:52.355000-04:00,,,,169.6294,300
2023-05-12 12:14:02.023000-04:00,,,,169.46,5
2023-05-12 12:14:14.003000-04:00,,,,169.48,26
2023-05-12 12:14:23.708000-04:00,,,,169.43,1
2023-05-12 12:14:34.143000-04:00,,,,169.51,10
2023-05-12 12:14:45.100000-04:00,,,,169.5242,1
2023-05-12 12:14:55.120000-04:00,,,,169.4,14
2023-05-12 12:15:06.345000-04:00,,,,169.38,3888
2023-05-12 12:15:16.490000-04:00,,,,169.25,100
2023-05-12 12:15:26.795000-04:00,,,,169.2409,1
2023-05-12 12:15:36.428000-04:00,,,,169.26,199
2023-05-12 12:15:46.995000-04:00,,,,169.47,200
2023-05-12 12:15:57.231000-04:00,,,,169.5,391
2023-05-12 12:16:06.875000-04:00,,,,169.5,100
2023-05-12 12:16:17.174000-04:00,,,,169.45,75
2023-05-12 12:16:26.993000-04:00,,,,169.3323,400
2023-05-12 12:16:36.575000-04:00,,,,169.245,50
2023-05-12 12:16:46.596000-04:00,,,,169.2,3
2023-05-12 12:16:57.979000-04:00,,,,169.0801,400
2023-05-12 12:17:09.252000-04:00,,,,169.03,7
2023-05-12 12:17:19.790000-04:00,,,,169.0382,107
2023-05-12 12:17:30.392000-04:00,,,,169.04,100
2023-05-12 12:17:40.131000-04:00,,,,168.98,58
2023-05-12 12:17:51.068000-04:00,,,,168.94,10
2023-05-12 12:18:03.020000-04:00,,,,168.59,3000
2023-05-12 12:18:12.588000-04:00,,,,168.3301,100
2023-05-12 12:18:23.104000-04:00,,,,168.3315,300
2023-05-12 12:18:33.805000-04:00,,,,168.34,400
2023-05-12 12:18:44.021000-04:00,,,,168.34,500
2023-05-12 12:18:54.263000-04:00,,,,168.34,60
2023-05-12 12:19:03.902000-04:00,,,,168.23,119
2023-05-12 12:19:14.220000-04:00,,,,168.24,34
2023-05-12 12:19:24.409000-04:00,,,,168.48,100
2023-05-12 12:19:34.134000-04:00,,,,168.54,100
2023-05-12 12:19:43.697000-04:00,,,,168.63,53
2023-05-12 12:19:54.065000-04:00,,,,168.6,20
2023-05-12 12:20:04.477000-04:00,,,,168.59,40
2023-05-12 12:20:13.992000-04:00,,,,168.67,100
2023-05-12 12:20:24.836000-04:00,,,,168.55,5
2023-05-12 12:20:34.748000-04:00,,,,168.38,25
2023-05-12 12:20:44.756000-04:00,,,,168.28,500
2023-05-12 12:20:55.017000-04:00,,,,168.45,1
2023-05-12 12:21:05.826000-04:00,,,,168.4799,10
2023-05-12 12:21:17.374000-04:00,,,,168.4898,99
2023-05-12 12:21:27.731000-04:00,,,,168.44,50
2023-05-12 12:21:37.539000-04:00,,,,168.446,50
2023-05-12 12:21:47.961000-04:00,,,,168.415,1
2023-05-12 12:21:57.716000-04:00,,,,168.3,100
2023-05-12 12:22:07.594000-04:00,,,,168.31,50
2023-05-12 12:22:18.434000-04:00,,,,168.36,80
2023-05-12 12:22:29.030000-04:00,,,,168.34,50
2023-05-12 12:22:38.538000-04:00,,,,168.37,50
2023-05-12 12:22:48.265000-04:00,,,,168.26,34
2023-05-12 12:22:58.437000-04:00,,,,168.19,50
2023-05-12 12:23:08.083000-04:00,,,,168.16,20
2023-05-12 12:23:18.702000-04:00,,,,168.1891,100
2023-05-12 12:23:28.302000-04:00,,,,168.06,40
2023-05-12 12:23:39.272000-04:00,,,,168.035,300
2023-05-12 12:23:49.666000-04:00,,,,168.07,92
2023-05-12 12:24:00.139000-04:00,,,,168.22,5
2023-05-12 12:24:10.191000-04:00,,,,168.1158,1
2023-05-12 12:24:19.882000-04:00,,,,167.68,40
2023-05-12 12:24:29.808000-04:00,,,,167.7095,100
2023-05-12 12:24:40.122000-04:00,,,,167.83,90
2023-05-12 12:24:51.313000-04:00,,,,167.865,50
2023-05-12 12:25:01.560000-04:00,,,,167.89,100
2023-05-12 12:25:11.622000-04:00,,,,168.0505,100
2023-05-12 12:25:22.462000-04:00,,,,168.03,17
2023-05-12 12:25:32.109000-04:00,,,,168.08,5
2023-05-12 12:25:42.284000-04:00,,,,168.07,1
2023-05-12 12:25:53.330000-04:00,,,,168.065,10
2023-05-12 12:26:04.553000-04:00,,,,168.0299,23
2023-05-12 12:26:14.842000-04:00,,,,168.0888,1
2023-05-12 12:26:24.579000-04:00,,,,168.23,10
2023-05-12 12:26:34.257000-04:00,,,,168.21,7
2023-05-12 12:26:45.176000-04:00,,,,168.0706,400
2023-05-12 12:26:55.105000-04:00,,,,168.07,100
2023-05-12 12:27:05.029000-04:00,,,,168.06,20
2023-05-12 12:27:15.465000-04:00,,,,168.07,25
2023-05-12 12:27:26.742000-04:00,,,,168.095,1000
2023-05-12 12:27:38.052000-04:00,,,,168.02,100
2023-05-12 12:27:47.613000-04:00,,,,168.1098,5
2023-05-12 12:27:57.529000-04:00,,,,168.186,1
2023-05-12 12:28:08.794000-04:00,,,,168.2172,100
2023-05-12 12:28:18.506000-04:00,,,,168.1683,1
2023-05-12 12:28:28.851000-04:00,,,,168.1658,1
2023-05-12 12:28:38.930000-04:00,,,,168.1549,2
2023-05-12 12:28:49.234000-04:00,,,,168.085,15
2023-05-12 12:28:59.209000-04:00,,,,168.0399,1
2023-05-12 12:29:09.220000-04:00,,,,167.8699,50
2023-05-12 12:29:19.391000-04:00,,,,167.88,100
2023-05-12 12:29:29.136000-04:00,,,,167.9199,36
2023-05-12 12:29:39.403000-04:00,,,,167.96,100
2023-05-12 12:29:49.577000-04:00,,,,168.06,100
2023-05-12 12:30:00.167000-04:00,,,,167.96,10
2023-05-12 12:30:10.411000-04:00,,,,167.89,1
2023-05-12 12:30:20.537000-04:00,,,,168.01,23
2023-05-12 12:30:30.887000-04:00,,,,168.1214,23
2023-05-12 12:30:41.822000-04:00,,,,168.15,1
2023-05-12 12:30:51.704000-04:00,,,,168.2599,43
2023-05-12 12:31:03.231000-04:00,,,,168.22,1
